third_level,count
Walls,245
Openings,213
Roofs,118
Other,94
Pavements,69
Space heating and cooling,68
Drainage treatment and disposal,62
Rail tracks,49
Bridge structures,42
Stairs,38
Lighting,37
Furnishings,32
Superstructure,31
Barriers,27
Floors,23
"Towers, chimneys and masts",19
Tunnels and shafts,13
Ceilings and soffits,12
Vessels and trenches,12
Equipment,11
