categories_first_level,count
Fondation Components,338
Door&Windows,257
Furnishings,58
"WC, Baths, Sinks",46
"Chimneys, Radiators",25
Blocks&Panels,12
"Roof, Slabs, Stairs",9
"Stairs, Ramps, Lift, Hardware",3
"Dock shelters, equipment boxes",3
"Pipes, ovens, Humidifier",1
