,second_level
"Door, Windows, Gates",578
Other,281
"Blocks, Panels, Fences, Bricks",263
"WC, Baths, Sinks",83
"Chimneys, Radiators",80
"Stairs, Ramps, Lift, Hardware",46
"Lightings, Lamps",33
"Floors, Ceiling",28
"Trusses, Beam, Columns",23
"Covering, Finish",15
"Pipes, ovens, Humidifier",14
Fondation Components,5
"Chairs, Tables, Beds",4
"Dock shelters, equipment boxes",3
