second_level,Latest_Price
Other,35010.88
"Floors, Ceiling",34641.0
"Door, Windows, Gates",10931.0
"Chairs, Tables, Beds",9544.0
"Lightings, Lamps",5947.9
"Blocks, Panels, Fences, Bricks",2371.29
"Chimneys, Radiators",496.0
"WC, Baths, Sinks",355.0
"Dock shelters, equipment boxes",69.0
"Trusses, Beam, Columns",6.0
Fondation Components,5.0
"Stairs, Ramps, Lift, Hardware",0.0
