second_level,LastPrice
Other,614390.0
"Blocks, Panels, Fences, Bricks",169375.0
Furnishings,141722.0
"Door, Windows, Gates",99397.0
"Stairs, Ramps, Lift, Hardware",93123.0
"Covering, Finish",82783.0
"Floors, Ceiling",40501.0
