French_Raw,price_latest
Mechanical clocks,30.0
Synthetic rubber strips,30.0
Lifting hoops,30.0
Floor-standing urinals,29.0
Glass wool cloth insulation protection,27.0
Radiator pipe floor covers,25.0
Sink supports,25.0
Double beds,25.0
Fire extinguisher cabinets,25.0
Trolleys,25.0
Light tables,23.0
Climatic beams and ceilings,21.0
Ceramic tile sit-on skirtings,20.0
Aluminium cold drawn tubes,20.0
Room heaters,20.0
Ashtrays,20.0
Cavity ventilators,20.0
Prie-dieux,20.0
Pendant luminaires,20.0
Softwood posts,20.0
Floor springs,20.0
Rubber tiles,18.0
"Carpets, carpet tiles, coverings, underlays and mats",16.0
Linoleum tiles,16.0
Softwood edgings,15.0
Bin stores,15.0
Stone tiles,15.0
Sanitary accessories,15.0
Timber sleepers,15.0
Concrete floating slab foundations,15.0
Cricket wicket stump boxes,15.0
Elastomeric pads,15.0
Natural stone wall and floor slabs,12.5
Rooflights,12.0
Roof ridge ventilator tiles,11.0
Textile roll coverings,10.0
Sanitary seats,10.0
Window hinges,10.0
Trickle vents,10.0
Timber pales,10.0
Light reflectors (motorized),10.0
Brick slip adhesive mortars,10.0
Metal tubes and hollow sections,10.0
Dining tables,10.0
Dormers,10.0
External venetian blinds,10.0
Fibre-reinforced polymer-modified cementitious mortars,10.0
Glazed rooflight panels,10.0
Climatic ceiling panels,8.0
Wood skirtings,7.5
Plugs,7.0
Stainless steel door leaves,6.5
Concrete plinth units,6.0
Castle nuts,6.0
Floor clips,6.0
Wood-based floor transition strips,6.0
Mortice locks,5.95
Flush hinges,5.95
Semi-flexible polyvinyl chloride (PVC) tiles,5.3
Hardwood dowels,5.0
Toilet brush holders,5.0
Wood shutters,5.0
Ferrules,5.0
Cable strand sockets,5.0
Mounting brackets,5.0
Self-locking nuts,5.0
Folding chairs,5.0
Tile adhesives,5.0
Stainless steel hook bolts,5.0
Linked seats,3.0
Terrazzo tile skirtings,3.0
Aluminium lighting columns,3.0
Rail rings,2.0
Adjustable post bases,2.0
Threaded anchors,1.0
Plastics plugs,1.0
Wood window subframes,1.0
Aluminium curtain wall frame sections,1.0
Flash tapes,0.05
Aluminium handrails,0.0
Ceiling insulation fasteners,0.0
Cements and limes,0.0
"Chairs, seats and benches",0.0
Additives,0.0
Concrete bridge pedestals,0.0
Combination doorsets,0.0
Compact fluorescent lamps,0.0
Cast stone masonry units,0.0
Concrete lighting columns,0.0
Aluminium edging sections,0.0
Concrete platform slabs,0.0
Concretes,0.0
Aluminium doorsets,0.0
Cork cove skirtings,0.0
Countertop washbasins,0.0
Cast stone slabs,0.0
Aluminium structural columns,0.0
Air compressors,0.0
Aluminium window walls,0.0
Anti-burglar window bars,0.0
"Washbasins, sinks and troughs",0.0
Axial flow fans,0.0
Wall hatches,0.0
Aluminium structural beams,0.0
Bath mixer taps with shower hose and hand sprays,0.0
Beams and joists,0.0
Brass handrails,0.0
Brass sections,0.0
Aluminium shutters,0.0
Window latches,0.0
Venetian blinds,0.0
Cabinet locks,0.0
Vanity and washroom furniture,0.0
Aluminium lighting bollards,0.0
Valve boxes,0.0
Window sill boards,0.0
Carbon steel door leaves,0.0
Carbon steel gates,0.0
Cast iron columns,0.0
Resilient floor coverings,0.0
Dimensioned stones,0.0
Food service trolleys,0.0
Glazed clay bricks,0.0
Sofa beds,0.0
Soap dishes,0.0
Heel blocks,0.0
High-security doorsets,0.0
Interlocking laminate floor tiles,0.0
Kitchenette units,0.0
Lift barriers,0.0
Access ramps,0.0
Limestone fines,0.0
Single axis window hinges,0.0
Louvre door leaves,0.0
Masonry cements,0.0
Metal J hangers,0.0
Metal halide lamps,0.0
Metal stair stringers,0.0
Napkins,0.0
Plastics beams,0.0
Screenprints,0.0
Precast concrete bollards,0.0
Sash window pulls,0.0
Protective frames,0.0
Quarry tile borders,0.0
Garage door holders,0.0
Food preparation trolleys,0.0
Terracotta units,0.0
Special lamps,0.0
Tee hinges,0.0
Divans,0.0
Door frames and leaves,0.0
Swing doorsets,0.0
Double-capped tubular LED lamps,0.0
Renewable powered lighting columns,0.0
Electronic starters,0.0
Emergency exit devices,0.0
Engineering bricks,0.0
Stone stair treads,0.0
Entrance mats,0.0
Steel window units,0.0
Eye-wash fountains,0.0
Steel lighting bollards,0.0
Steel lattice frames,0.0
Steel bearers,0.0
Steam humidifiers,0.0
Stands and holders,0.0
Fire trolleys,0.0
Flat-needled carpet tiles,0.0
Stainless steel doorsets,0.0
Stainless steel brackets,0.0
Floor-mounted mobiles,0.0
Electronic ballasts,0.0
