,Key,Value
97,IfcBuildingElementProxy.PARTIAL,IfcStairFlight
98,IfcProcess,IfcRelNests
99,IfcProcess,IfcRelSequence
100,IfcProcess,IfcRelAssignsToControl
101,IfcProcess,IfcRelAssignsToProduct
102,IfcControl,IfcRelAssignsToProcess
103,IfcControl,IfcDistributionFlowElement
104,IfcMaterial,IfcMaterialProperties
105,IfcMaterial,IfcCovering
106,IfcMaterial,IfcCovering
107,IfcMaterial,IfcCovering
108,IfcMaterial,IfcCovering
109,IfcMaterial,IfcCovering
110,IfcMaterial,IfcCovering
111,IfcMaterial,IfcCovering
112,IfcMaterial,IfcCovering
113,IfcMaterial,IfcCovering
114,IfcMaterial,IfcCovering
115,IfcMaterial,IfcCovering
116,IfcMaterial,IfcCovering
117,IfcMaterial,IfcPlatePlates
118,IfcMaterial,IfcWall
119,IfcMaterial,IfcWallStandardCase
120,IfcMaterial,IfcWallStandardCaseHISTORY
121,IfcMaterial,IfcBuildingElementPart
122,IfcMaterial,IfcReinforcingElement
123,IfcElement,IfcRelAssociatesMaterial
124,IfcElement,IfcBuildingStoreyelevation
125,IfcElement,IfcRelAggregates
126,IfcElement,IfcGroup
127,IfcElement,IfcObjectPlacement
128,IfcElement,IfcObjectPlacement
129,IfcElement,IfcShapeRepresentationRepresentationIdentifier
130,IfcElement,IfcOpeningStandardCase
131,IfcElement,IfcPort
132,IfcElement,IfcPort
133,IfcElement,IfcSite
134,IfcElement,IfcRelReferencedInSpatialStructure
135,IfcElement,IfcRelReferencedInSpatialStructureNOTE
136,IfcElement,IfcRailway
137,IfcElement,IfcCovering
138,IfcElement,IfcCurtainWall
139,IfcElement,IfcBeam
140,IfcElement,IfcPlate
141,IfcElement,IfcPlate
142,IfcElement,IfcCurtainWall
143,IfcElement,IfcEnergyConversionDevice
144,IfcElement,IfcFlowController
145,IfcElement,IfcFlowFitting
146,IfcElement,IfcFlowMovingDevice
147,IfcElement,IfcFlowSegment
148,IfcElement,IfcFlowStorageDevice
149,IfcElement,IfcFlowTerminal
150,IfcElement,IfcFlowTreatmentDevice
151,IfcElement,IfcRelDefinesByProperties
152,IfcElement,IfcLocalPlacement
153,IfcElement,IfcAlignment
154,IfcElement,IfcReferentREFERENCEMARKER
