,French_Raw,French_Code,SoldAfterDays,CountEntity,French_Code_Parent,Code,Title,Rank_SoldAfterDays,Rank_CountEntity,Score
74,Manual trapdoors,Pr_30_59_36_50,169.82926829268294,41,Pr_30_59,Pr_30_59,Openings and opening component products,55.0,25.0,80.0
118,Heat pumps,Pr_70_60_37,156.7,20,Pr_70_60,Pr_70_60,Space heating and cooling products,39.0,42.0,81.0
30,suspender,IfcMember.SUSPENDER,173.25,60,IfcMember.SUSPENDER,,,60.0,21.0,81.0
140,port,IfcPort,136.13333333333333,15,IfcPort,,,23.0,58.0,81.0
16,Joist seals,Pr_25_57_21_44,192.62111801242236,161,Pr_25_57,Pr_25_57,"Non-rigid sheet, mat and strip skin products",79.0,4.0,83.0
35,ceiling,IfcCovering.CEILING,182.67088607594937,79,IfcCovering.CEILING,,,73.0,13.0,86.0
210,Lamps,Pr_70_70_46,120.36363636363636,11,Pr_70_70,Pr_70_70,Power and lighting outlet products,14.0,73.0,87.0
137,Strip ventilators,Pr_30_59_29_82,144.21428571428572,14,Pr_30_59,Pr_30_59,Openings and opening component products,31.0,61.0,92.0
173,Dovecotes,Pr_40_30_04_25,119.6,10,Pr_40_30,Pr_40_30,Fittings,13.0,79.0,92.0
70,finned,IfcTubeBundle.FINNED,175.55555555555554,36,IfcTubeBundle.FINNED,,,65.0,30.0,95.0
256,Kitchenette units,Pr_20_65_50_46,124.9,10,Pr_20_65,Pr_20_65,Prefabricated buildings and structures,17.0,79.0,96.0
124,Electrical diagrams,Pr_40_10_57_23,126.8,10,Pr_40_10,Pr_40_10,Signage products,19.0,79.0,98.0
26,Murals,Pr_40_50_05_55,194.625,72,Pr_40_50,Pr_40_50,Furnishings,83.0,16.0,99.0
48,quay,IfcMarineFacility.QUAY,171.85,20,IfcMarineFacility.QUAY,,,57.0,42.0,99.0
324,Wardrobes,Pr_40_30_87_96,109.11111111111111,9,Pr_40_30,Pr_40_30,Fittings,11.0,89.0,100.0
71,main,IfcReinforcingBar.MAIN,158.92857142857142,14,IfcReinforcingBar.MAIN,,,42.0,61.0,103.0
58,Air conditioning units,Pr_70_65_03,137.5,10,Pr_70_65,Pr_70_65,Air and fume outlet products,24.0,79.0,103.0
21,Radiators,Pr_70_60_36_73,196.65079365079364,63,Pr_70_60,Pr_70_60,Space heating and cooling products,85.0,19.0,104.0
267,entrance works,IfcElementAssembly.ENTRANCEWORKS,112.75,8,IfcElementAssembly.ENTRANCEWORKS,,,12.0,94.0,106.0
98,strand,IfcTendon.STRAND,180.17857142857142,28,IfcTendon.STRAND,,,71.0,36.0,107.0
1,projector,IfcAudioVisualAppliance.PROJECTOR,147.0,11,IfcAudioVisualAppliance.PROJECTOR,,,34.0,73.0,107.0
24,Sprigs,Pr_20_29_56_82,206.925,80,Pr_20_29,Pr_20_29,Fastener products,96.0,12.0,108.0
23,Bidets,Pr_40_20_06_11,206.015625,64,Pr_40_20,Pr_40_20,Sanitary fittings and accessories,94.0,18.0,112.0
276,rail,IfcRail,168.6,15,IfcRail,,,54.0,58.0,112.0
78,Newspaper dispensers,Pr_40_70_22_56,197.85,40,Pr_40_70,Pr_40_70,Equipment,86.0,27.0,113.0
8,suspension,IfcBridge.SUSPENSION,199.97674418604652,43,IfcBridge.SUSPENSION,,,90.0,24.0,114.0
93,Balancing veneers,Pr_25_71_94_06,131.625,8,Pr_25_71,Pr_25_71,"Rigid board, panel, sheet and sectional products",20.0,94.0,114.0
52,Grommets,Pr_20_29_60_34,191.04,25,Pr_20_29,Pr_20_29,Fastener products,78.0,38.0,116.0
142,Glassware,Pr_40_70_23_36,48.166666666666664,6,Pr_40_70,Pr_40_70,Equipment,3.0,113.0,116.0
143,Duct banks,Pr_65_70_11_25,135.75,8,Pr_65_70,Pr_65_70,"Cables, conductors and fittings products",22.0,94.0,116.0
353,Meeting room tables,Pr_40_50_21_51,55.0,6,Pr_40_50,Pr_40_50,Furnishings,4.0,113.0,117.0
315,Garden awnings,Pr_40_50_33_33,70.16666666666667,6,Pr_40_50,Pr_40_50,Furnishings,5.0,113.0,118.0
113,Window walls,Pr_30_59_99,189.6,20,Pr_30_59,Pr_30_59,Openings and opening component products,76.0,42.0,118.0
209,Food preparation tables,Pr_40_50_21_32,143.11111111111111,9,Pr_40_50,Pr_40_50,Furnishings,30.0,89.0,119.0
96,wash handbasin,IfcSanitaryTerminal.WASHHANDBASIN,157.5,10,IfcSanitaryTerminal.WASHHANDBASIN,,,40.0,79.0,119.0
168,Wood lathings,Pr_20_85_46_96,198.06451612903226,31,Pr_20_85,Pr_20_85,Support and restraint products,88.0,32.0,120.0
364,fire  sensor,IfcSensor.FIRESENSOR,163.27272727272728,11,IfcSensor.FIRESENSOR,,,47.0,73.0,120.0
392,Power and lighting outlet products,Pr_70_70,194.0,22,Pr_70_70,Pr_70_70,Power and lighting outlet products,80.0,41.0,121.0
53,footing,IfcFooting,210.59259259259258,54,IfcFooting,,,100.0,22.0,122.0
170,Water strainers,Pr_65_57_95_96,166.9090909090909,11,Pr_65_57,Pr_65_57,Filter products,51.0,73.0,124.0
39,Modular cassette ventilated ceilings,Pr_70_65_04_53,177.5625,16,Pr_70_65,Pr_70_65,Air and fume outlet products,69.0,55.0,124.0
133,co  sensor,IfcSensor.COSENSOR,162.3,10,IfcSensor.COSENSOR,,,45.0,79.0,124.0
80,Wood veneers,Pr_25_71_94_98,172.53846153846155,13,Pr_25_71,Pr_25_71,"Rigid board, panel, sheet and sectional products",59.0,66.0,125.0
144,Furnishings,Pr_40_50,182.625,16,Pr_40_50,Pr_40_50,Furnishings,72.0,55.0,127.0
139,shelf,IfcFurniture.SHELF,141.42857142857142,7,IfcFurniture.SHELF,,,26.0,102.0,128.0
246,Automatic revolving doorsets,Pr_30_59_24_04,150.5,8,Pr_30_59,Pr_30_59,Openings and opening component products,37.0,94.0,131.0
65,watercooling  coil,IfcCoil.WATERCOOLINGCOIL,195.88888888888889,18,IfcCoil.WATERCOOLINGCOIL,,,84.0,48.0,132.0
