,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1576,1576,120316,https://restado.de/baustoff/bidet-villeroyboch-subway-2-0/,Bidet Villeroy&Boch Subway 2.0,Haustechnik & Sanitär,Sanitär,2023-01-09,,Artikel so gut wie neu.,Gebraucht,80€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-48143 Münster,Villeroy & Boch,"{""Farbe"": ""Weiß"", ""Serie"": ""Subway 2.0"", ""Gegenstand"": ""Bidet""}",80.0,1.0,80.0,1.0,80€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/02/7ac23c25-56b1518b-b424-4ff4-b362-ca4c8ca64749.jpeg'],Bidet Villeroy & Boch Subway .,Pozzolana,Bidets,Pr_40_20_06_11,Other,Other,Other,,0.0
1729,1729,65160,https://restado.de/baustoff/bidet-3/,Bidet,Haustechnik & Sanitär,Sanitär,2023-01-09,1682121600000.0,"Unbenutztes Bidet vom Hersteller Keranak. Kleinere Beschädigungen vorhanden, sonst einwandfrei. Regal 14.  Material: Keramik Farbe: weiß Baujahr: 2000 Höhe: 30,00 cm Breite: 37,00 cm Länge/Tiefe: 60,00 cm Gewicht: 20,00 kg  Lieferung nach Absprache.",Neuwertig,40€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},40.0,1.0,40.0,1.0,40€ / Stück,1 Stück verfügbar,1.0,8899200000.0,,Bidet,Teak,Bidets,Pr_40_20_06_11,Other,Other,Other,103.0,0.0
1731,1731,65156,https://restado.de/baustoff/bidet/,Bidet,Haustechnik & Sanitär,Sanitär,2023-01-09,1681084800000.0,"Wandbidet mit Anschlußmöglichkeit in die Wand. Keine Gebrauchsspuren. Findet sich in der Sanitärabteilung.  Material: Keramik Farbe: weiß Baujahr: 2000 Höhe: 36,00 cm Breite: 36,00 cm Länge/Tiefe: 54,00 cm Gewicht: 22,00 kg  Lieferung nach Absprache.",Neuwertig,50€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},50.0,1.0,50.0,1.0,50€ / Stück,1 Stück verfügbar,1.0,7862400000.0,['https://restado.de/wp-content/uploads/products/2023/02/7ac23c25-56b1518b-b424-4ff4-b362-ca4c8ca64749.jpeg'],Bidet,Teak,Bidets,Pr_40_20_06_11,Other,Other,Other,91.0,0.0
2560,2560,117564,https://restado.de/baustoff/dielenboden/,Dielenboden,Innenausbau,Bodenbeläge,2023-01-09,,Muss selbst ausgebaut werden,Gebraucht,250€ (VB) Paketpreis,10 m² verfügbar,(10 m² Mindestabnahme),D-72108 Rottenburg,,{},250.0,10.0,250.0,10.0,250€ (VB) Paketpreis,10 m² verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/12/3c424fe0-ce97445a-3746-4212-a67b-e756025f6841-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2022/12/83992b63-c60a51d4-2264-4731-b3b4-5ebb57f4f87e-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2022/12/e74df2d3-b7d1c15c-92ce-4f7b-8f2e-073456e70c4c-scaled.jpeg']",Partial auctions,Jointing fine aggregates,Bidets,Pr_40_20_06_11,Other,Other,Other,,0.0
