,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
392,392,40024,https://restado.de/baustoff/tuerelement-hoermann/,Türelement Hörmann,Türen & Zargen,Zimmertüren,2023-01-09,,"4 Türelemente (2x rechts, 2x links) abzugeben - Originalverpackt. Türen werden nicht mehr gebraucht und Rückgabe nach 14 Tagen bei Hornbach nicht mehr möglich  Das doppelwandige, 40 mm dicke Türblatt mit 3-seitigem Dickfalz besteht aus verzinktem Stahlblech (0,6 mm), vollflächig verklebter Spezialwabeneinlage. Sie erhalten die Innentür ZK serienmäßig mit eingebautem Schloss und glanzverzinkten Bandoberteilen V0020.  https://www.hornbach.de/shop/ZK-Tuerelement-Hoermann-verzinkt-875x1875-mm-Rechts-inkl-Drueckergarnitur/1410077/artikel.html  Preis bei Abnahme von 4 Türen: 60 Euro pro Tür. Ansonsten 70 Euro pro Tür",Neu,60€ / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-76187 Karlsruhe,,{},60.0,4.0,60.0,4.0,60€ / Stück,4 Stück verfügbar,0.0,,[],Türelement Hörmann,Tufa,Sons et lumières,Pr_40_50_05_82,Other,Other,Other,,0.0
1044,1044,117540,https://restado.de/baustoff/steinplatten-3/,Steinplatten,Fliesen & Steine,Naturstein,2023-01-09,1677542400000.0,"Gut erhalten, Müssen selbst ausgebaut werden",Gebraucht,70€ (VB) / m²,30 m² verfügbar,(1 m² Mindestabnahme),D-72108 Rottenburg,,{},70.0,30.0,70.0,30.0,70€ (VB) / m²,30 m² verfügbar,1.0,4320000000.0,['https://restado.de/wp-content/uploads/products/2022/12/78e708cb-fe940960-2ad9-4651-b132-c6e70f1659d8.jpeg'],Steinplatten,Gneiss,Sons et lumières,Pr_40_50_05_82,Other,Other,Other,50.0,0.0
3186,3186,52826,https://restado.de/baustoff/steinplatten/,Steinplatten,Garten & Freianlagen,Strassen- und wegebau,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,['https://restado.de/wp-content/uploads/products/2020/05/b9fb0060-6d63aceb-76cb-4a4b-a667-968cb4a26cc2-scaled.jpeg.webp'],Steinplatten,Gneiss,Sons et lumières,Pr_40_50_05_82,Other,Other,Other,3.0,
3591,3591,40890,https://restado.de/baustoff/oberputz/,Oberputz,Fassade,Aussenputz,2023-07-17,,/Users/jue/Desktop/TI-HSS.pdf,Neu,8€ (VB) / Stück,,(1 Stück Mindestabnahme),D-22529 Hamburg,,"{""Material"": ""Mineralischer Oberputz"", ""Putzstruktur"": ""Kratzputz"", ""Kornstärke"": ""3 mm"", ""Gebindegröße"": ""30 kg""}",8.0,,8.0,,,,0.0,,[],Oberputz,Poplar,Sons et lumières,Pr_40_50_05_82,Other,Other,Other,,
3752,3752,137886,https://restado.de/baustoff/kermos-semento-hellgrau-120x60cm/,"Kermos Semento hellgrau, 120x60cm",Fliesen & Steine,Fliesen,2023-09-15,,"Wir verkaufen 28 Stück original verpackte Feinsteinzeugfliesen in hellgrau matter Betonoptik. Die Fliesen sind Neuware und wurden im August/2023 für € 860.- gekauft (Rechnung liegt vor und kann eingesehen werden).  - Farbe: Die Fliesen sind sehr hell. Auf den Fotos wirken sie fast ein wenig zu dunkel. Auf dem einen Foto habe ich als Vergleich eine weiße Holzplatte hinterlegt. Am besten beim Hersteller nachschauen.  - Größe: Die Fliesen haben eine Größe von 60x120cm, das reicht für ca. 14m² inklusive Sockelleisten.  - Typ/Hersteller: Die genaue Typbezeichnung lautet ""Kermos 60x120x0,8 Semento hellgrau matt"". Verwendbar als Badfliesen, Küchenfliesen oder Wohnzimmerfliesen.  Wir wollten die Fliesen selbst in der Küche verlegen lassen. Leider haben wir erst nach Lieferung der Fliesen entdeckt, dass dort schon ein schöner Terrazzo-Boden liegt, den wir nun aufarbeiten lassen. Da der Lieferant die Fliesen nicht zurücknehmen konnte, stehen sie jetzt zum Verkauf.  Wir haben zusätzlich noch Montagematerial, das wir gerne dazugeben: ""PCI 3017 Nanofug Premium Nr. 22 sandgrau 5 kg-Eimer""  Es ist kein Versand möglich.",Neu,140€ (VB) Paketpreis,,"(inkl. 19% MwSt., falls anwendbar)",D-30163 Hanover,Kermos,"{""Farbe"": ""hellgrau"", ""Bezeichnung"": ""Feinsteinzeug"", ""Länge (cm)"": ""120"", ""Breite (cm)"": ""60"", ""Serie"": ""Kermos 60x120x0,8 Semento ME !Z hellgrau matt FS R10/B Abr.4 rekt."", ""Dicke (mm)"": ""8""}",140.0,,140.0,,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/10/030185b5-20231003_160717_resized-450x203.webp', 'https://restado.de/wp-content/uploads/products/2023/10/05ed014d-20231003_160554_resized-450x245.webp']","Kermos Semento hellgrau , xcm",Encaustic,Sons et lumières,Pr_40_50_05_82,Other,Other,Other,,
3904,3904,133879,https://restado.de/baustoff/lehmbauplatten-125-x-25-x-25/,"Lehmbauplatten 125 x 25 x 2,5",Innenausbau,Trockenbau,2023-09-25,,"Ich biete ca. 300 Stück Lehmbauplatten (ca. 93 qm), Restbestand aus einer Sanierung. Der Hersteller ist mir nicht bekannt. Die Platten wurden trocken gelagert.  Bei Abnahme aller Platten Preis 900,00 Euro.",Neuwertig,"3,50€ / Stück",,"(inkl. 19% MwSt., falls anwendbar)",D-83533 Edling,,{},3.5,,3.5,,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/08/0da36009-bild-4.jpg', 'https://restado.de/wp-content/uploads/products/2023/08/6405bceb-bild-1.jpg', 'https://restado.de/wp-content/uploads/products/2023/08/15b4db9a-img_3170-rotated.jpeg']","Lehmbauplatten x x ,",Wallaba,Sons et lumières,Pr_40_50_05_82,Other,Other,Other,,
