,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
3123,65301,https://restado.de/baustoff/gartenpforte/,Gartenpforte,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1684627200000.0,"DIN-rechts angeschlagene Gartenpforte. Gefertigt aus Vierkantrohr als Pfosten (3cm). Der Rahmen der Pforte besteht aus Vierkantrohr (3x5cm) und die Füllung aus Sicherheitsglas. Findet sich auf der Rampe.  Material: Stahl, Glas Farbe: zinkfarben Baujahr: 1980 Höhe: 100,00 cm Breite: 98,00 cm Länge/Tiefe: 3,20 cm  Lieferung nach Absprache.",Neuwertig,70€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},70.0,1.0,70.0,1.0,70€ / Stück,1 Stück verfügbar,1.0,11404800000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,132.0,0.0
3124,65308,https://restado.de/baustoff/gartentore/,Gartentore,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1683676800000.0,"Angeboten werden hier zwei feuerverzinkte Gartentore. Das Durchgangsmaß beträgt 99cm und der Flügel ist 94cm breit. Dazu passend gibt es auch noch Zaunelemente(Art.-Nummer 16046). Der Artikel bedindet sich vor der Rampe.  Material: verzinkter Stahl Farbe: silber Höhe: 94,00 cm Breite: 94,00 cm  Lieferung nach Absprache.",Neuwertig,70€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},70.0,2.0,70.0,2.0,70€ / Stück,2 Stück verfügbar,1.0,10454400000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,121.0,0.0
3125,65303,https://restado.de/baustoff/gartenpforte-2/,Gartenpforte,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1681862400000.0,"Dieses Gartentor hat oben einen schönen Rundbogen und in der Mitte einen Schnörkel. Wenn es wieder ein Gartentörchen werden soll, braucht es eine Klinke, Pfosten rechts und links und evtl. eine neue Verzinkung oder Lackierung.  Material: Stahl Farbe: weiß Höhe: 80,00 cm Breite: 96,00 cm  Lieferung nach Absprache.",Neuwertig,120€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},120.0,1.0,120.0,1.0,120€ / Stück,1 Stück verfügbar,1.0,8640000000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,100.0,0.0
3126,65305,https://restado.de/baustoff/gartenpforte-3/,Gartenpforte,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1685232000000.0,"Kleine praktische Gartenpforte aus Metallrundstäben. Die Aufhängungen sind leider verbogen und so nicht mehr zu gebrauchen. Auch müßten alte Farbreste durch Sandstrahlen entfernt werden.  Material: Metall Höhe: 62,50 cm Breite: 80,50 cm Gewicht: 13,00 kg  Lieferung nach Absprache.",Neuwertig,20€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},20.0,1.0,20.0,1.0,20€ / Stück,1 Stück verfügbar,1.0,12009600000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,139.0,0.0
3127,65310,https://restado.de/baustoff/gartentoerchen/,Gartentörchen,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1682380800000.0,"Kleines verzinktes Gartentörchen mit 2 Aufhängungen.  Material: Eisen Höhe: 80,00 cm Breite: 60,00 cm  Lieferung nach Absprache.",Neuwertig,40€ / Gesamt,1 Gesamt verfügbar,(1 Gesamt Mindestabnahme),D-28217 Bremen,,{},40.0,1.0,40.0,1.0,40€ / Gesamt,1 Gesamt verfügbar,1.0,9158400000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,106.0,0.0
3128,65319,https://restado.de/baustoff/gelaender-fuer-eingang-zum-hochparterre/,Geländer für Eingang zum Hochparterre,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1681948800000.0,"Historisches Geländer mit Treppengeländer für eine Eingangssituation auf dem Hochparterre, gefertigt als genietete Stahlprofilkonstruktion mit zweiseitiger Halterung für Blumenkästen. Ideal für den hochliegenden Hauseigang am Bremer Haus! Die Breite des oberen Geländers (auf Foto links!) beträgt 114,5cm, die Vorderseite/Breite (auf Foto mittiger Geländerteil) mißt 132cm und die Grundlänge des Treppengeländer mißt 120 cm, mit einem Winkel von ca. 30°. Das Geländerhöhe als solches mißt 68cm und war aber mit den erhaltenen Fußprofilen auf 80cm Höhe montiert und könnte auch noch höher montiert werden. Die Podesthöhe/Treppenhöhe beträgt ca. 110cm. Die Treppenbreite ist variabel, da Geländer nur einseitig! Und da die Vermassung u.a. sehrrr wichtig für Treppenstufen ist, am besten vorbeikommen und gemeinsam messen!  Material: Stahl Farbe: schwarz Baujahr: 1900 Höhe: 80,00 cm Breite: 132,00 cm Länge/Tiefe: 2,00 cm Gewicht: 80,00 kg  Lieferung nach Absprache.",Neuwertig,120€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},120.0,1.0,120.0,1.0,120€ / Stück,1 Stück verfügbar,1.0,8726400000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,101.0,0.0
3129,65321,https://restado.de/baustoff/gelaenderstuecke/,Geländerstücke,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1683158400000.0,"Diese Geländerstücke stammen von einer Rollstuhlrampe aus einer Grundschule. Steigung ca. 6%. Der Handlauf ist leider nicht mehr erhalten, dafür aber die Pfosten samt Bolzen und Hutmuttern. Der Preis gilt für je 1 Teilstück mit 1 Pfosten. Geländerstücke und Pfosten stehen auf der Rampe, die Bolzen sind im Kabuff.  Material: Metall Farbe: grau Höhe: 74,00 cm Breite: 114,00 cm Gewicht: 10,00 kg  Lieferung nach Absprache.",Neuwertig,40€ / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},40.0,7.0,40.0,7.0,40€ / Stück,7 Stück verfügbar,1.0,9936000000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,115.0,0.0
3130,65317,https://restado.de/baustoff/gelaender-10/,Geländer,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1682553600000.0,"Dieses Geländer stammt von einer Rampe vor einem öffentlichen Gebäude.Es hat 5 Befestigungsmöglichkeiten im Boden im Abstand von 96cm. Dazu gehört ursprünglich (mit Abgang für eine Stufe) das Geländerstück mit der Bauteilnummer 15530. Das Geländer steht im Hof vor der Rampe.  Material: verzinkter Stahl Farbe: grau Höhe: 66,00 cm Länge/Tiefe: 490,00 cm Gewicht: 50,00 kg  Lieferung nach Absprache.",Neuwertig,250€ / Gesamt,1 Gesamt verfügbar,(1 Gesamt Mindestabnahme),D-28217 Bremen,,{},250.0,1.0,250.0,1.0,250€ / Gesamt,1 Gesamt verfügbar,1.0,9331200000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,108.0,0.0
3131,65314,https://restado.de/baustoff/gelaender-9/,Geländer,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1683763200000.0,"Dieses Geländer gehört zu einer geraden Rampe mit einer Stufe. Es hat 4 Befestigungspunkte am Boden im Abstand von 96cm und einen Handlauf. Passend dazu ist das Geländer mit der Bauteilnummer 15527. Das Geländer steht im Hof vor der Rampe.  Material: verzinkter Stahl Farbe: grau Höhe: 90,00 cm Breite: 220,00 cm Gewicht: 40,00 kg  Lieferung nach Absprache.",Neuwertig,200€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},200.0,1.0,200.0,1.0,200€ / Stück,1 Stück verfügbar,1.0,10540800000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,122.0,0.0
3132,65326,https://restado.de/baustoff/gitter-2/,Gitter,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1683504000000.0,"Fenstergitter mit geschwungenem Profil, sowie verziertem Stab auf der rechten und linken Seite. Die höchste Stelle misst 170,00cm, die Tiefste 65,00cm.  Material: Metall Farbe: schwarz Baujahr: 1900 Höhe: 170,00 cm Breite: 123,00 cm Gewicht: 14,00 kg  Lieferung nach Absprache.",Neuwertig,70€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},70.0,2.0,70.0,2.0,70€ / Stück,2 Stück verfügbar,1.0,10281600000.0,,Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,119.0,0.0
