,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1512,33837,https://restado.de/baustoff/schneider-bestwood-top-140-100mm/,"Schneider Bestwood Top , mm",Dach,Dachdämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Schneider Bestwood Top 140, 100mm.",Neu,15€ (VB) / m²,27 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Schneider,"{""Serie"": ""Top 140"", ""Material"": ""Holzfaser""}",15.0,27.0,15.0,27.0,15€ (VB) / m²,27 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1513,33863,https://restado.de/baustoff/steico-phaltex-19mm/,Steico Phaltex mm,Dach,Dachdämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Steico Phaltex 19mm.",Neu,4€ (VB) / m²,180 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Steico,"{""Serie"": ""Phaltex"", ""Material"": ""Holzfaser"", ""Dicke"": ""19mm""}",4.0,180.0,4.0,180.0,4€ (VB) / m²,180 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1514,33807,https://restado.de/baustoff/pavatex-pavatherm-combi-60mm/,Pavatex Pavatherm Combi mm,Dach,Dachdämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Pavatherm Combi 60mm.",Neu,"12,50€ (VB) / m²",37 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Pavatex,"{""Serie"": ""Pavatherm Combi"", ""Material"": ""Holzfaser""}",12.5,37.0,12.5,37.0,"12,50€ (VB) / m²",37 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1515,33678,https://restado.de/baustoff/pavatex-pavatherm-220mm/,Pavatex Pavatherm mm,Dach,Dachdämmung,2023-01-12,,"Hallo, verkaufen hier Pavatex Pavatherm 220mm mit Stufenfalz aus Überbestand. Es sind insgesamt 10 Paletten mit je 12,24m². Bei Fragen einfach unter 00352691550390 melden.",Neu,30€ (VB) / m²,122 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Pavatex,"{""Serie"": ""Pavatherm"", ""Material"": ""Holzfaser"", ""Dicke"": ""220mm""}",30.0,122.0,30.0,122.0,30€ (VB) / m²,122 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1516,33799,https://restado.de/baustoff/schneider-bestwood-top-180-160mm/,Schneider Bestwood Top mm,Dach,Dachdämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Schneider Bestwood Top 180, 160mm.",Neu,20€ (VB) / m²,16 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Schneider,"{""Serie"": ""Top 180"", ""Material"": ""Holzfaser""}",20.0,16.0,20.0,16.0,20€ (VB) / m²,16 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1517,33826,https://restado.de/baustoff/steico-steicotherm-120/,Steico Steicotherm,Dach,Dachdämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Steicotherm 120mm N+F.",Neu,"12,50€ (VB) / m²",36 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Steico,"{""Serie"": ""Steicotherm"", ""Material"": ""Holzfaser""}",12.5,36.0,12.5,36.0,"12,50€ (VB) / m²",36 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1518,33705,https://restado.de/baustoff/gutex-thermoflex-240mm/,Gutex Thermoflex mm,Dach,Dachdämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Steico Thermoflex 240mm.",Neu,15€ (VB) / m²,37 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Gutex,"{""Serie"": ""Thermoflex"", ""Material"": ""Holzfaser"", ""Dicke"": ""240""}",15.0,37.0,15.0,37.0,15€ (VB) / m²,37 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1519,32727,https://restado.de/baustoff/32-m%c2%b2-neopor-eps-032-deo-wab-100-kpa-120x1000x500-mm/,m² >,Dach,Dachdämmung,2023-01-09,,"Verkaufe HARTSCHAUMPLATTE NEOPOR EPS 032 DEO/WAB >100 KPA 120X1000X500 MM, B1, GEFASTE KANTEN  1 PAK = 2 M2  16 Packungen (32 Quadratmeter) stehen zum Verkauf! Sind bei meinem Ausbau des Dachboden übrig geblieben.  Nur Selbstabholung!",Neu,320€ Paketpreis,16 Stück verfügbar,(16 Stück Mindestabnahme),D-92353 Postbauer-Heng,,{},320.0,16.0,320.0,16.0,320€ Paketpreis,16 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1520,31238,https://restado.de/baustoff/daemmplatten-80mm/,Dämmplatten qm mm dick,Dach,Dachdämmung,2023-01-09,,,,"5,50€ (VB) / m²",110 m² verfügbar,(WordPress › FehlerEs gab einen kritischen Fehler auf deiner Website.Erfahre mehr über die Problembehandlung in WordPress.,,,{},5.5,110.0,5.5,110.0,"5,50€ (VB) / m²",110 m² verfügbar,0.0,,,Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1521,25818,https://restado.de/baustoff/kingspan-k8-plus-isolationsplatten/,Kingspan Plus Isolationsplatten,Dach,Dachdämmung,2023-01-09,,,,25€ / m²,300 m² verfügbar,(WordPress › FehlerEs gab einen kritischen Fehler auf deiner Website.Erfahre mehr über die Problembehandlung in WordPress.,,,{},25.0,300.0,25.0,300.0,25€ / m²,300 m² verfügbar,0.0,,,Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1522,13501,https://restado.de/baustoff/isover-integra-ukf-32-60mm/,Isover Integra mm,Dach,Dachdämmung,2023-01-09,,Verkaufe hier die restlichen Rollen meiner Untersparrendämmung. Es handelt sich hier um 3 ganze Rollen à 10qm und eine angefangene(noch ca 8qm). Eine halbe Rolle Isover Klimamembran gibt es gratis dazu,Neu,76€ Paketpreis,38 m² verfügbar,(38 m² Mindestabnahme),Neu,,{},76.0,38.0,76.0,38.0,76€ Paketpreis,38 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1523,13287,https://restado.de/baustoff/daemmung/,Dämmung,Dach,Dachdämmung,2023-01-09,,Dämmung von climowool in Stärke 220mm  Ca 75qm zur selbstabholung,Neu,675€ Paketpreis,75 m² verfügbar,(75 m² Mindestabnahme),Neu,,{},675.0,75.0,675.0,75.0,675€ Paketpreis,75 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1524,8799,https://restado.de/baustoff/aufsparrdmmung/,Aufsparrdämmung,Dach,Dachdämmung,2023-01-09,,"Bachl tecta-por EPS 032 DAD 100kpa Dicke 120mm, oberseitig rutschfest kaschiert mit diffusionsoffener Unterdeckbahn.",Neu,17€ / Stück,22 Stück verfügbar,(inkl. 19% MwSt.),Neu,,{},17.0,22.0,17.0,22.0,17€ / Stück,22 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1525,7285,https://restado.de/baustoff/dmmung/,Dämmung,Dach,Dachdämmung,2023-01-09,,isover ultimate  klemmfilz 160 17 Rollen,Neu,34€ / Stück,17 Stück verfügbar,(inkl. 19% MwSt.),Neu,,{},34.0,17.0,34.0,17.0,34€ / Stück,17 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1526,6950,https://restado.de/baustoff/holzfaser-dmmplatten/,Holzfaser Dämmplatten,Dach,Dachdämmung,2023-01-09,,"ca. 15m2 Aufsparrendämmungsplatten der firma best wood schneider  Details:  Kante: Nut + Feder Kante: Nut + Feder Plattenformate in mm: 580 x 2000 ,20cm dick  Holzfaser-Dämmung als bewitterbare Aufsparrendämmung, Aufdachdämmung und regensichere Unterdeckplatte • rutschhemmende Latexbeschichtung • erhöhter Dämmwert Unsere Aufsparrendämmung TOP 140 ist eine druckfeste und bewitterbare Dämmplatte und bei Dachneigungen ≥ 15° als regensichere Unterdeckung in Klasse 3 ZVDH eingeordnet. Ebenso kann die Aufsparrendämmung TOP 140 sehr gut als bewitterbare Fassadendämmung bei geschlossener und hinterlüfteter Vorhang-Fassade genutzt werden. Die best wood Holzfaser-Dämmung TOP 140 ist durch das Paraffin (Wachs) durchgehend hydrophobiert. Die Oberfläche hat eine rutschhemmende Latexbeschichtung. Durch unser einzigartiges Produktionsverfahren wird die Platte von beiden Seiten bedampft und hat dadurch zwei gleich stabile Oberflächen. So kann die Platte beidseitig verwendet werden und es fällt kaum Verschnitt an. Die TOP 140 ist bis zu 12 Wochen frei bewitterbar. Auf Nageldichtbänder kann verzichtet werden. Die TOP 140 ist auf Pressung und fugenfrei zu verlegen. Bereits kleinste Fugen müssen vor der Montage der Konterlatte mit best wood Unterdeckbahnen-Klebedichtmasse UDB geschlossen werden.  Nennwert der Wärmeleitfähigkeit λD: 0,040 [W/(m·K)] (nur Schweiz) Deklarierte Wärmeleitfähigkeit λD nach SIA 279: 0,040 [W/(m·K)] Berechnungswert der Wärmeleitfähigkeit λ nach DIN 13171: 0,042 [W/(mK)] Rohdichte der Holzfaserdämmung TOP 140: 140 [kg/m³]   Anwendungsbereiche TOP 140 Aufsparrendämmung  Vorübergehend bewitterbare Aufsparrendämmung und Aufdachdämmung (ab 15° Dachneigung, in Klasse 3 ZVDH eingeordnet) Laut gutachterlicher Stellungnahme der Holzforschung Austria als regensicheres Unterdach nach ÖN B4119 geeignet. Wasserabweisende Unterdeckplatte Dach und Wand UDP-A gemäß ZVDH   Vorteile Aufsparrendämmung TOP 140  Druckfeste Holzfaser-Dämmplatte mit einem Gewicht von 140 kg/m³ Erhöhter Dämmwert Hervorragender Wert der Wärmeleitfähigkeit Exzellenter sommerlicher Hitzeschutz und optimale Wärmedämmung im Winter Bewitterbare Aufdachdämmung ≥15° als regensichere Unterdeckung in Klasse 3 ZVDH eingeordnet Bis zu 12 Wochen frei bewitterbar Rutschfeste Latexbeschichtung für mehr Sicherheit auf dem Dach Auf Nageldichtbänder kann verzichtet werden Verbessert den Schallschutz: Holzfaser-Dämmplatten sind eine sehr gute Schalldämmung, je höher die Rohdichte desto besser die schalldämmende Wirkung Durchgegend hydrophobiert Diffusionsoffen und somit feuchtigkeitsregulierend Einfache Verlegung - abgesichert durch unsere Verarbeitungsrichtlinen Aufdachdämmung Kaum Verschnitt durch beidseitige Verwendbarkeit der Holzfaser-Dämmplatten Komplett recycelfähig  PREIS ist VERHANDELBAR!!! PREIS ist für alle Platten!!!",Neu,35€ (VB) / m²,15 m² verfügbar,(1 m² Mindestabnahme),Neu,,{},35.0,15.0,35.0,15.0,35€ (VB) / m²,15 m² verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1527,4357,https://restado.de/baustoff/dmmfilz-040-superglass-mineralwolle-dmmstoff/,Dämmfilz Superglass Mineralwolle-Dämmstoff,Dach,Dachdämmung,2023-01-09,,"Beschreibung Privat Dämmfilz 040 Superglass Mineralwolle-Dämmstoff  habe zuviel gekauft , Verwendung z.b. auf dem Speicher...  preis entspricht 20,- Euro pro Rolle schnäppchen !!!",Neu,20€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},20.0,6.0,20.0,6.0,20€ / Stück,6 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1528,4095,https://restado.de/baustoff/dmmung-16-sack/,Dämmung Sack,Dach,Dachdämmung,2023-01-09,,"Dämmung 16 Sack - sehen Sie bitte das Bild im Anhang: 8,00€ / Sack",Neu,8€ / Stück,16 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},8.0,16.0,8.0,16.0,8€ / Stück,16 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1529,126128,https://restado.de/baustoff/isover-untersparrendaemmung/,Isover untersparrendämmung,Dach,Dachdämmung,2023-04-06,,,,,,,,,{},0.0,0.0,0.0,0.0,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/05/8a734e7c-e30e610b-003c-431a-b804-eaa7a9133e82.jpeg'],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1530,2981,https://restado.de/baustoff/isover-integra-zkf1-032-160-mm-strke-2/,Isover Integra mm Stärke,Dach,Dachdämmung,2023-01-09,,KlemmfilzIsover Integra ZKF1 032 160 mm Stärke,Neu,198€ Paketpreis,6 Stück verfügbar,(6 Stück Mindestabnahme),Neu,,{},198.0,6.0,198.0,6.0,198€ Paketpreis,6 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1531,2777,https://restado.de/baustoff/dachboden-dmmung-trittfest-2/,Dachboden Dämmung trittfest,Dach,Dachdämmung,2023-01-09,,100m2 trittfeste Dachboden dämmung zu verkaufen. Die Ware ist noch voll in Ordnung. Es handelt sich um 100 er dämmung. Ich habe auch noch etwas 80er und 60er bei Interesse meldet euch einfach.  Auf den Bildern seht ihr weitere Daten der Dämmung. Eine Abholung ist auch kurzfristig möglich.,Neu,1.400€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},1400.0,1.0,1400.0,1.0,1.400€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1532,2776,https://restado.de/baustoff/dachboden-dmmung-trittfest/,Dachboden Dämmung trittfest,Dach,Dachdämmung,2023-01-09,,100m2 trittfeste Dachboden dämmung zu verkaufen. Die Ware ist noch voll in Ordnung. Es handelt sich um 100 er dämmung. Ich habe auch noch etwas 80er und 60er bei Interesse meldet euch einfach.  Auf den Bildern seht ihr weitere Daten der Dämmung. Eine Abholung ist auch kurzfristig möglich.,Neu,1.400€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},1400.0,1.0,1400.0,1.0,1.400€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
1533,1962,https://restado.de/baustoff/climowool-kf2-klemmfilz-035-140mm/,climowool Klemmfilz mm,Dach,Dachdämmung,2023-01-09,,"climowool KF2 Klemmfilz 035 140mm 5,50 Euro/qm   7 Rollen a 4,80qm/Rolle Gesamtpreis 184,80 Euro   Restbestände da für die eigene Dämmung zu viel gekauft. Bei einer Rolle ist die Kunststoffummantelung durch den Transport leicht beschädigt, die Mineralwolle ist natürlich in Ordnung. Die Ware kann in Umkreis von 50km von 58285 Gevelsberg gerne kostenlos geliefert werden. Oder Abholung möglich.   Viel Spaß beim bieten.   Da ich Privatverkäufer bin ist jegliche Gewährleistung, Garantie oder Umtausch nach Kauf ausgeschlossen.",Neu,182€ Paketpreis,7 Stück verfügbar,(7 Stück Mindestabnahme),Neu,,{},182.0,7.0,182.0,7.0,182€ Paketpreis,7 Stück verfügbar,0.0,,[],Silt,Arrises,Pr_35_90_43_04,"Roof, Slabs, Stairs","Covering, Finish",Structural roofing units,,0.0
2162,94944,https://restado.de/baustoff/dosierkartuschen-drucklose-bohrlochinjektion/,Dosierkartuschen drucklose Bohrlochinjektion,Rohbau,Baulicher Feuchteschutz,2023-01-09,,"Kartuschen haben wir bei Kluwe erworben, um eine Wand gegen aufsteigende Feuchtigkeit zu behandeln, einmal gebraucht, wie neu.",Gebraucht,96€ (VB) Paketpreis,96 Stück verfügbar,(96 Stück Mindestabnahme),D-12437 Berlin,,{},96.0,96.0,96.0,96.0,96€ (VB) Paketpreis,96 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/04/f30f9074-img_2399.jpg', 'https://restado.de/wp-content/uploads/products/2022/04/7d875c2d-img_0014a.jpg']",Heat-resistant concrete,Waterproofing concrete admixtures,Pr_20_31_03_95,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Structural roofing units,,0.0
