,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
21,005DOP020,Door in stainless steel with bronze door handles by Jules Wabbes x cm – Right,30.0,kg,pc,"
Door in stainless steel with bronze door handles by Jules Wabbes made by Général Décoration for the General de Banque Headquarters.Dimensions :Height : 198 cmWidth : 53 cmThickness : 4,6 cmRightGood used condition. May have some scratches and clear chips. A bit dusty, needs to be cleaned. Hinges and key are missing. Handles and lock case are included in the price.The front handle is in cast-bronze but the handle at the back is in stainless steel (see last image). For storage purpose, we removed handles from the door.Please note! We advise the customer to come and see this product in our physical shop before buying.
",Doors,https://rotordc.com/shop/product/005dop020-door-in-stainless-steel-with-bronze-door-handles-by-jules-wabbes-h-198-x-53-cm-right-58577?category=32,,1799.0,1799.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.5627616047859192, 'start': 389, 'end': 401, 'answer': ' cast-bronze'}","{'score': 0.24963971972465515, 'start': 142, 'end': 181, 'answer': ' :Height : 198 cmWidth : 53 cmThickness'}","{'score': 0.007054169196635485, 'start': 318, 'end': 370, 'answer': ' Handles and lock case are included in the price.The'}",Stainless steel,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings",0.007054169196635485,,,,
22,005DOP019,Door in stainless steel with bronze door handles by Jules Wabbes . x cm – Right,40.0,kg,pc,"
Door in stainless steel with bronze door handles by Jules Wabbes made by Général Décoration for the General de Banque Headquarters.Dimensions :Height : 202.5 cmWidth : 75 cmThickness : 4,6 cmRightGood used condition. May have some scratches and small chips. A bit dusty, needs to be cleaned. Hinges and key are missing. Handles and lock case are included in the price.The front handle is in cast-bronze but the handle at the back is in stainless steel (see last image). For storage purpose, we removed handles from the door.Please note! We advise the customer to come and see this product in our physical shop before buying.
",Doors,https://rotordc.com/shop/product/005dop019-door-in-stainless-steel-with-bronze-door-handles-by-jules-wabbes-h-202-5-x-75-cm-right-58576?category=32,,1999.0,1999.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.5886704921722412, 'start': 391, 'end': 403, 'answer': ' cast-bronze'}","{'score': 0.151046022772789, 'start': 142, 'end': 166, 'answer': ' :Height : 202.5 cmWidth'}","{'score': 0.008821677416563034, 'start': 320, 'end': 372, 'answer': ' Handles and lock case are included in the price.The'}",Stainless steel,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings",0.008821677416563034,,,,
23,005DOP022,"Service door in stainless steel by ‘ Jules Wabbes ’ with emergency signage cm x , cm – Left",40.0,kg,pc,"
Service door in stainless steel by ‘Jules Wabbes’ with emergency signs.Dimensions :Height : 199 cmLength : 52,8 cmThickness : 4,7 cmLeftGood used condition. May have scratches, imperfections and chips. A bit dusty, needs to be cleaned. Lock case and handles are included in the price. Hinges and key are missing. Lock is missing too.The front handle is in cast-bronze but the handle at the back is in stainless steel (see last image). For storage purpose, we removed handles from the door.Please note! We advise the customer to come and see this product in our physical shop before buying.
",Doors,https://rotordc.com/shop/product/005dop022-service-door-in-stainless-steel-by-jules-wabbes-with-emergency-signage-h-199-cm-x-52-8-cm-left-58574?category=32,,1799.0,1799.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.009558209218084812, 'start': 16, 'end': 32, 'answer': ' stainless steel'}","{'score': 0.13150554895401, 'start': 82, 'end': 124, 'answer': ' :Height : 199 cmLength : 52,8 cmThickness'}","{'score': 0.002720079617574811, 'start': 236, 'end': 285, 'answer': '\xa0Lock case and handles are included in the price.'}",Safety glass,Stainless steel door leaves,Pr_30_59_23_85,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,0.002720079617574811,,,,
24,005DOP021,Service door in stainless steel with bronze handles by ‘ Jules Wabbes ’ x cm – Left,40.0,kg,pc,"
Service door in stainless steel with bronze handles by ‘Jules Wabbes’.Dimensions :Height : 198 cmWidth : 53 cmThickness : 4,6 cmLeftGood used condition. There is clear scratches, imperfections and chips and traces of paint. A bit dusty, needs to be cleaned. Lock case and handles are included in the price. Hinges and key are missing.The front handle is in cast-bronze but the handle at the back is in stainless steel (see last image). For storage purpose, we removed handles from the door.Please note! We advise the customer to come and see this product in our physical shop before buying.
",Doors,https://rotordc.com/shop/product/005dop021-service-door-in-stainless-steel-with-bronze-handles-by-jules-wabbes-h-198-x-53-cm-left-58565?category=32,,1799.0,1799.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.6842883229255676, 'start': 357, 'end': 369, 'answer': ' cast-bronze'}","{'score': 0.2117374986410141, 'start': 81, 'end': 120, 'answer': ' :Height : 198 cmWidth : 53 cmThickness'}","{'score': 0.008031702600419521, 'start': 258, 'end': 307, 'answer': '\xa0Lock case and handles are included in the price.'}",Stainless steel,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates",Sanitary fittings and accessories,0.008031702600419521,,,,
25,005DOP017,"Door in stainless steel with bronze door handles by Jules Wabbes , cm x , – Right",50.0,kg,pc,"
Door in stainless steel with bronze door handles by Jules Wabbes from General de Banque.Dimensions :Height : 202,5 cmWidth : 72,5 cmThickness : 6,3 cmGood used condition. May have some scratches, imperfection and chips. Lock case is a bit damaged. Handles are different from one side to another. A bit dusty, needs to be cleaned.Handles and lock case are included in the price. Hinges and key are missing.For storage purpose, we removed handles from the door.Please note! We advise customer to come and see this product before buying.
",Doors,https://rotordc.com/shop/product/005dop017-door-in-stainless-steel-with-bronze-door-handles-by-jules-wabbes-h-202-5-cm-x-72-5-right-56051?category=32,,1799.0,1799.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.9351075887680054, 'start': 8, 'end': 24, 'answer': ' stainless steel'}","{'score': 0.3201320469379425, 'start': 99, 'end': 142, 'answer': ' :Height : 202,5 cmWidth : 72,5 cmThickness'}","{'score': 0.08739281445741653, 'start': 321, 'end': 378, 'answer': ' cleaned.Handles and lock case are included in the price.'}",Architectural glass,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings",0.08739281445741653,,,,
26,005DOP014,"Door in stainless steel with bronze door handles by Jules Wabbes x , cm - Right",50.0,kg,pc,"
Door in stainless steel with bronze door handles by Jules Wabbes made by Général Décoration for the General de Banque Headquarters.Dimensions :Height : 198 cmWidth : 92,5 cmThickness : 4,5 cmRightGood used condition. May have some scratches, chips and imperfections. A bit dusty, needs to be cleaned.Hinges and key are missing. Handles and lock case are included in the price.For storage purpose, we removed handles from the door.Please note! We advise the customer to come and see this product in our physical shop before buying.
",Doors,https://rotordc.com/shop/product/005dop014-door-in-stainless-steel-with-bronze-door-handles-by-jules-wabbes-h-198-x-92-5-cm-right-56050?category=32,,1999.0,1999.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.9160183072090149, 'start': 8, 'end': 24, 'answer': ' stainless steel'}","{'score': 0.5066515803337097, 'start': 142, 'end': 183, 'answer': ' :Height : 198 cmWidth : 92,5 cmThickness'}","{'score': 0.003161841770634055, 'start': 328, 'end': 380, 'answer': ' Handles and lock case are included in the price.For'}",Architectural glass,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings",0.003161841770634055,,,,
27,005DOP015,Service door in stainless steel by Jules Wabbes x cm - Left,60.0,kg,pc,"
Service door in stainless steel by Jules Wabbes from General de Banque.Dimensions :Height : 198 cmWidth : 53 cmThickness : 4,5 cmLeftGood used condition. May have scratches, imperfections and chips. Lock case is a bit damaged. It doesn’t worked very well. A bit dusty, needs to be cleaned.Lock case and handles are included in the price. Hinges and key are missing.For storage purpose, we removed handles from the door.Please note! We advise customers to come and see this product before buying.
",Doors,https://rotordc.com/shop/product/005dop015-service-door-in-stainless-steel-by-jules-wabbes-h-198-x-53-cm-left-56049?category=32,,1799.0,1799.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.9406372904777527, 'start': 16, 'end': 32, 'answer': ' stainless steel'}","{'score': 0.3808460235595703, 'start': 82, 'end': 121, 'answer': ' :Height : 198 cmWidth : 53 cmThickness'}","{'score': 0.07463768869638443, 'start': 281, 'end': 338, 'answer': ' cleaned.Lock case and handles are included in the price.'}",Stainless steel,Stainless steel door leaves,Pr_30_59_23_85,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,0.07463768869638443,,,,
28,005DOP016,Door in stainless steel with bronze locket by Jules Wabbes x cm - Right,35.0,kg,pc,"
Door in stainless steel with bronze locket by Jules Wabbes.Dimensions :Height : 199 cmWidth : 69 cmThickness : 5,5 cmGood used condition. May have scratches, imperfections and chips. One part of the locket is missing but it is still working. Painted in black on one side. A bit dusty, needs to be cleaned.Handles and lock case are included in the price. Hinges and key are missing.For storage purpose, we removed a part of the handles but the other part is stock ( a screw is broken).Please note! We advise the customer to come and see this product before buying.
",Doors,https://rotordc.com/shop/product/005dop016-door-in-stainless-steel-with-bronze-locket-by-jules-wabbes-h-199-x-69-cm-right-56048?category=32,,999.0,999.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.4947710335254669, 'start': 8, 'end': 24, 'answer': ' stainless steel'}","{'score': 0.20021212100982666, 'start': 70, 'end': 109, 'answer': ' :Height : 199 cmWidth : 69 cmThickness'}","{'score': 0.0009754856582731009, 'start': 297, 'end': 327, 'answer': ' cleaned.Handles and lock case'}",Sitka spruce,Stainless steel door leaves,Pr_30_59_23_85,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",0.0009754856582731009,,,,146.0
29,005DOP018,"Door in stainless steel with door handles by Jules Wabbes x , cm – Left",50.0,kg,pc,"
Door in stainless steel with door handles by Jules Wabbes from General de Banque.Dimensions :Height : 199 cmWidth : 64,5 cmThickness : 4,5 cmLeftGood used condition. May have a few scratches, imperfections and chips. Locket is working but one part is missing. One part of the frame is a bit damaged. The stainless steel comes off the frame on edge (as picture). A bit dusty, needs to be cleaned.Lock case and handles are included in the price; Hinges and key are missing.Please note! We advise customer to come and see this product in our physical shop before buying.
",Doors,https://rotordc.com/shop/product/005dop018-door-in-stainless-steel-with-door-handles-by-jules-wabbes-h-199-x-64-5-cm-left-56047?category=32,,1799.0,1799.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.8628021478652954, 'start': 8, 'end': 24, 'answer': ' stainless steel'}","{'score': 0.402830570936203, 'start': 92, 'end': 133, 'answer': ' :Height : 199 cmWidth : 64,5 cmThickness'}","{'score': 0.09374620020389557, 'start': 387, 'end': 444, 'answer': ' cleaned.Lock case and handles are included in the price;'}",Architectural glass,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings",0.09374620020389557,,,,
30,999DOP634R,"Louvered door in steel , x cm",50.0,kg,pc,"
Louvered door in steel. No handles, sold without fixing system.

Dimensions: H 209,5 cm x W 73 cm
Thickness: 5 cm

Good used condition, may only have a few scratches and very small imperfections. A bit dusty, needs to be cleaned.
",Doors,https://rotordc.com/shop/product/louvered-door-in-steel-h-209-5-x-73-cm-54517?category=32,,139.0,139.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.0016644687857478857, 'start': 17, 'end': 24, 'answer': ' steel.'}","{'score': 0.7462264895439148, 'start': 77, 'end': 98, 'answer': ' H 209,5 cm x W 73 cm'}","{'score': 1.537496814307815e-07, 'start': 79, 'end': 85, 'answer': ' 209,5'}",Architectural glass,Stainless steel door leaves,Pr_30_59_23_85,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,1.537496814307815e-07,,,,
