,first_level,SoldAfterDays,CountEntity,Average Amount,Rank_SoldAfterDays,Rank_CountEntity,Rank_Average_Amount,Score
4,Other,65.32272727272728,220,4080.50234741784,1.0,2.0,1.0,1.3333333333333333
3,"Wall, Barriers, Pannels",68.32699619771863,789,1533.1823281907434,2.0,1.0,2.0,1.6666666666666667
0,Openings,88.74705882352941,170,99.63975155279503,4.0,3.0,3.0,3.3333333333333335
5,Structural elements,69.25,4,76.66666666666667,3.0,7.0,4.0,4.666666666666667
2,"Roof, Slabs, Stairs",102.52409638554217,166,28.578231292517007,6.0,4.0,6.0,5.333333333333333
6,Technical elements,98.52777777777777,36,40.4,5.0,6.0,5.0,5.333333333333333
1,Furnishings,109.70967741935483,62,19.153846153846153,7.0,5.0,7.0,6.333333333333333
