,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
2661,Poubelle,17.0,Pisé,Sprigs,1.0,100.0,['d4844067-e774-4d92-a226-022ed54a313d.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
2669,Dalle de moquette,7.0,Pisé,Sprigs,1.0,100.0,"['4ebe885b-bd93-4408-a99e-e531d62ddd29.jpeg', 'a74707ea-0d2e-4da0-a224-5a9b4faa0c13.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
2766,Dalle de moquette,8.0,Pisé,Sprigs,0.0,244.0,"['675c8db6-d115-4fc9-b923-13aa43524763.jpeg', '2236b15a-39f2-4964-8b80-f4d7d4ba0f6e.jpeg', '19fe5c18-2f03-4a06-a705-30207a4f46c4.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
3541,Dalle de moquette,7.0,Pisé,Sprigs,0.0,185.0,"['8b678e5a-783b-4801-8312-81e07accb16c.png', '25151a19-648b-44f4-bc45-069f700ee5e4.png']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
3590,Dalle de moquette,7.0,Pisé,Sprigs,0.0,185.0,"['5d63a9e8-b467-4242-9b09-fa29a62254c2.png', '07f6c314-0f6a-4189-aea2-41932c3c6442.png']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
3721,Dalle perforée,3.0,Pisé,Sprigs,1.0,27.0,['d202f3aa-faff-4d70-bd19-5cf8e9f9bc97.PNG'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
3981,Dalle de moquette,11.0,Pisé,Sprigs,0.0,185.0,"['e0ff1011-aa7b-4dda-8a17-ea9fa30ad134.jpeg', '74d5ac46-4e28-4e80-8056-c438dc2ff624.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
4252,Dalle de moquette,7.0,Pisé,Sprigs,0.0,143.0,"['e1bb720c-3713-4b4c-a161-53ca8eeb8e53.jpg', 'ca99789a-0f69-46ce-b38f-d031e4728ea2.jpg', '7ca457c5-b639-43a5-9404-c6a59fdaa8be.jpg', 'd99e3f78-b5f7-4818-8b4f-b056d4dfe013.jpg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
4311,Dalle de moquette,7.0,Pisé,Sprigs,0.0,143.0,['a02b4d42-e272-4d56-a54f-84f3889c89ba.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
4328,Pompes surpresseur,4500.0,Silt,Sprigs,0.0,270.0,['eee285a5-7db1-4477-89f0-20ea8d34dcbf.jpg'],"Wall, Barriers, Pannels","Covering, Finish",Support and restraint products,,,
4347,Dalle de moquette,7.0,Pisé,Sprigs,0.0,143.0,['02a26e7a-f711-423a-a822-10d41fcc7e2a.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
4352,Poubelle,5.0,Pisé,Sprigs,0.0,130.0,['f9bcb11a-7510-428c-b1e2-100c3acf12de.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
4353,Ossature de plancher surélevé,55.0,Gravel,Sprigs,0.0,124.0,['adffbf90-aea5-46e4-8e2b-41e60d214c80.jpg'],"Roof, Slabs, Stairs","Floors, Ceiling","Floor plates, gratings and edgings",,,
5466,Badheizkörper,,Lignite,Sprigs,1.0,265.0,1_%28105%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,3.0,75.0,119.0
5475,Badheizkörper,,Lignite,Sprigs,1.0,265.0,sam_8367_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,190.0,54.5,9.7
5589,Einlegespüle von,,Pisé,Sprigs,1.0,265.0,20180823_102530_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Trim products,,96.0,
5603,Spülkasten,,Pisé,Sprigs,1.0,265.0,2646_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",18.0,36.0,40.0
5604,Spülkasten,,Pisé,Sprigs,1.0,265.0,2680_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",15.0,44.0,32.0
5888,mit Spülkasten Laufen,,Sitka spruce,Sprigs,1.0,106.0,111773_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish",Sanitary fittings and accessories,,,
5949,Türschliesser,,Pisé,Sprigs,1.0,265.0,20180829_143804_%281%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
5974,mit Spülkasten,,Sitka spruce,Sprigs,1.0,184.0,2357_1_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,,
6007,Spülkasten,,Pisé,Sprigs,1.0,232.0,2688_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",14.0,40.0,40.0
6019,Hängeschrank mit Aussenmattglas,,Pisé,Sprigs,1.0,265.0,20220215_145831_%281%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels,32.5,31.0,129.0
6135,Einlegespüle,,Pisé,Sprigs,1.0,173.0,18.07.2012-014_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
6231,Garderobenspind,,Pisé,Sprigs,1.0,70.0,img_20220824_1026124_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
6304,Spülkasten,,Pisé,Sprigs,1.0,92.0,108112_1_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
6403,Spülkasten,,Pisé,Sprigs,1.0,173.0,110060_1_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
6411,Abstellverschraubung,,Encaustic,Sprigs,1.0,173.0,20170202_182552_002_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,,,
6416,Stand Laufen mit -Mengen spk,,Pisé,Sprigs,1.0,173.0,15.07.2009-001_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Treads and landing units,70.0,36.0,
6861,mit Spülkasten Laufen,,Sitka spruce,Sprigs,1.0,9.0,111985_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish",Sanitary fittings and accessories,,,
6878,Dunstabzug,,Pisé,Sprigs,1.0,90.0,112357_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
