,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1204,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['edaca8b0-9e48-4b8a-af6e-67dbe259dc55.jpeg', '0b4641cf-fb10-4f9e-a5b9-1560c05cda13.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1339,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['9629f4d0-4348-438c-8949-9dcdf499e017.jpeg', '15b3ec5c-6d66-4ab4-951c-f753e6cfca43.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1370,Porte double manuelle,0.0,Encaustic,Double slips,1.0,138.0,['a0379268-d64a-4857-b29c-3594ed3713b5.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1398,Porte double manuelle,85.0,Encaustic,Double slips,0.0,332.0,['c756e04b-d50b-4406-b695-88f96deb43ee.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1493,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['59ee3b9a-5d44-4fa0-b716-1a3786cfe81f.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1499,Porte double manuelle,80.0,Encaustic,Double slips,0.0,326.0,"['f03eff3a-6716-43d9-9aef-6e423d7d9154.jpeg', '016e1fd6-5414-42f5-a937-283daad40ba9.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1506,Porte double manuelle,70.0,Encaustic,Double slips,0.0,326.0,['f9f346ec-e5fb-4554-9981-04223dfe3ab8.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1554,Porte double manuelle,0.0,Encaustic,Double slips,1.0,64.0,['1e118f43-c3cb-45e6-aa1c-c99d60cfc53a.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1586,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['a46d6cae-9d0d-40d9-8dea-376b8ae25fda.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1623,Porte double manuelle,80.0,Encaustic,Double slips,0.0,332.0,"['4365ac6f-5833-4f72-a55f-312b47ba9ebe.jpeg', '86b955f7-e4e5-4d2e-9533-7db9a671bcb6.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
