,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
6089,Spiegelschrank,,Pisé,Sprinklers,1.0,173.0,,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",15.0,60.0,72.0
6321,Spiegelschrank cm,,Lignite,Sprinklers,1.0,14.0,1_%28263%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Walling units,,,
6323,Spiegelschrank cm,,Lignite,Sprinklers,1.0,14.0,1_%28266%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Walling units,,,
6326,Spiegelschrank,,Pisé,Sprinklers,1.0,14.0,111518_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6379,Spiegelschrank cm,,Lignite,Sprinklers,1.0,29.0,1_%28243%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Walling units,,,
6395,Spiegelschrank cm,,Lignite,Sprinklers,1.0,24.0,1_%28268%29_570x570.jpg,"Wall, Barriers, Pannels","Covering, Finish",Walling units,,,
6703,Spiegelschrank,,Pisé,Sprinklers,1.0,4.0,1_%28310%29_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",,,
6910,Spiegel in div . Grössen,,Lignite,Sprinklers,1.0,90.0,111969_2_570x570.jpg,Other,Other,"Lighting columns, brackets and bollards",3.0,60.0,42.0
6976,Spiegel,,Pisé,Sprinklers,1.0,58.0,112078_570x570.jpg,Other,Other,Other,3.0,57.7,49.0
7010,Spiegelfliese,,Lignite,Sprinklers,1.0,58.0,111970_570x570.jpg,Other,Other,Other,,22.0,18.0
7027,Spiegelschrank,,Pisé,Sprinklers,1.0,58.0,111915_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",16.0,100.0,75.0
7159,Wand Spiegel,,Silt,Sprinklers,1.0,45.0,112120_570x570.jpg,Other,Other,Other,,,
7191,Spiegelschrank,,Pisé,Sprinklers,1.0,,112084_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",22.0,120.0,70.0
7251,Spiegelschrank,,Pisé,Sprinklers,1.0,0.0,spiegelschrank_1_570x570.jpg,"Roof, Slabs, Stairs","Covering, Finish","Lighting columns, brackets and bollards",12.3,59.5,82.5
