,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
240,Dalles extérieures béton,4.0,Foamed concrete,Concrete bollards,0.0,443.0,['e25bc460-fb46-40bd-9037-318d96ee3d2c.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,,
351,Bordure et plots béton,50.0,Neat cement,Concrete bollards,0.0,487.0,"['a3576e09-4d68-4dad-a3de-d24e488e2351.jpg', '2c90b29a-ec3a-474e-9df6-7741d2986881.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,,
5800,Betonverbundstein gebraucht,,Foamed concrete,Concrete bollards,1.0,265.0,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,22.5,11.3
6174,Verbundsteine Beton gross,,Expansive concrete,Concrete bollards,1.0,173.0,1_%28265%29_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,30.0,30.0,6.0
6492,Betonroste für Stallungen,,Foamed concrete,Concrete bollards,1.0,173.0,b1dd5b7e-180f-4264-9c0f-5ed982e58228_%282%29_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,239.0,39.5,18.0
6935,Porenbeton,,Cinder concrete,Concrete bollards,1.0,81.0,112015_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,20.0,60.0,15.0
6936,Porenbeton klein,,Small-area repair concrete,Concrete bollards,1.0,81.0,112015_%281%29_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,20.0,30.0,15.0
7385,Beton Waschtrog,,In situ concrete,Concrete bollards,1.0,0.0,_dsc0626_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,50.3,100.0,50.5
