,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
644,Détecteur de présence,5.0,Encaustic,Occupancy detectors,1.0,82.0,"['0fdcc823-a107-41c2-9607-afa2e26b458b.jpeg', 'f6fc979d-3174-4a56-83de-d5197dabffed.jpeg']",Technical elements,Other,Other,,,
967,Détecteur de présence,7.0,Encaustic,Occupancy detectors,1.0,11.0,['15f880f5-e17d-4db4-9fe4-40fbb127833e.jpeg'],Technical elements,Other,Other,,,
1088,Détecteur de présence,7.0,Encaustic,Occupancy detectors,1.0,11.0,['dcf85ef5-f2e4-4bf4-b92d-6a996d5d06e1.jpeg'],Technical elements,Other,Other,,,
1135,Détecteur de présence,17.0,Encaustic,Occupancy detectors,0.0,370.0,"['ee59742e-f4b5-4f93-9fb2-784275c68de4.jpeg', '6dfbc91f-aa2e-4c15-94f1-6fff165cb2a2.jpeg']",Technical elements,Other,Other,,,
1140,Détecteur de présence,7.0,Encaustic,Occupancy detectors,1.0,11.0,['791d8783-3740-496c-9a82-d118236027fc.jpeg'],Technical elements,Other,Other,,,
2296,Détecteur de présence,17.0,Encaustic,Occupancy detectors,1.0,118.0,['6f40d68f-824f-4373-8a80-df09b2a41d33.jpeg'],Technical elements,Other,Other,,,
2542,Détecteur de présence,17.0,Encaustic,Occupancy detectors,1.0,100.0,['187438a4-81a6-49f3-819a-d02acc608254.jpeg'],Technical elements,Other,Other,,,
3109,Détecteur de présence,17.0,Encaustic,Occupancy detectors,0.0,200.0,"['08440dc5-8082-41bc-bbe3-02f6fbd095cd.jpeg', 'fda483b2-7d67-4ca6-b469-f13d6203532a.jpeg']",Technical elements,Other,Other,,,
3305,Détecteur de présence,17.0,Encaustic,Occupancy detectors,0.0,200.0,"['048650fc-4ceb-44fe-925c-0f5429584bdf.jpeg', '793154ee-8a79-4fa3-a60b-1a5cd2ff64be.jpeg']",Technical elements,Other,Other,,,
