,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
61,Garde-corps extérieur,25.0,Encaustic,Guard barriers,1.0,60.0,"['8d1e3737-3294-4d91-9c77-75282b1e2160.png', 'af59a4be-450f-476b-b3dd-61d364f499f0.png', 'd359fb2c-18da-4fa1-8f01-ea1f8ef02636.png', '7464883c-e587-42c9-aafd-637358a9404a.jpeg', 'b0d51d36-d7e9-4212-827d-22597fd52642.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
182,Barrière de sécurité,30.0,Safety glass,Guard barriers,0.0,527.0,['4fc64da4-6edf-44be-8f64-63dc72ec8ce7.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
278,Garde-corps extérieur,40.0,Encaustic,Guard barriers,1.0,127.0,"['53f1632d-35ed-4e75-96db-afa6a755d2cb.jpeg', 'b76a3b71-b28c-4b92-a2f9-a66adbe43663.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
357,Barrière écluse de sécurité,200.0,Safety glass,Guard barriers,1.0,95.0,['3c76d447-b3a4-4880-b83b-0987ffee393b.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
780,Barrière de chantier,7.0,Gravel,Guard barriers,1.0,82.0,['ab5ad3ac-74c0-44be-a7fb-9291e302cb46.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
2856,Garde-corps extérieur,45.0,Encaustic,Guard barriers,0.0,200.0,"['7f1f08d2-907c-487d-9c7f-0fd0fc4d403d.jpeg', '61ca5246-d480-4bd1-99fd-967c10485221.jpeg', 'b5ca59e7-a3f3-4064-b2c7-0a7ec96df775.jpeg', 'a05db635-fb4f-44ee-937a-c4a65f1b14f6.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
3212,Garde-corps extérieur,45.0,Encaustic,Guard barriers,0.0,200.0,"['5b777775-aee8-4094-ace5-f425b6982fad.jpeg', 'b1f290a1-d7fb-4f36-8d58-785258d5cabc.jpeg', 'e959a9dc-2ebc-4d20-948c-d4c196372616.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
