,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
3367,Mitigeur,30.0,Pisé,Sedge,1.0,60.0,"['0faf1eb5-f69d-4280-a7ce-ab5f18cfc3fa.jpeg', '1bfd6672-b953-458e-8a04-00600e4e472b.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
3487,Emetteur,35.0,Encaustic,Sedge,0.0,194.0,"['cbbbebce-f3bb-44cd-a157-b2cdc4544fef.jpeg', '0891acbb-5725-4fe6-8fdd-d20e181c6537.jpeg']",Technical elements,"Covering, Finish",Trim products,,,
3506,Emetteur,35.0,Encaustic,Sedge,0.0,194.0,"['51c09721-4fd6-4c5a-831d-757a96b823a2.jpeg', '341bacd7-54c2-4265-8bfa-bba49c3db755.jpeg']",Technical elements,"Covering, Finish",Trim products,,,
3519,Mitigeur,38.0,Pisé,Sedge,0.0,185.0,"['17192a9c-28f3-4073-9a42-36bbd88c7fc8.jpeg', 'cdb24695-11b0-4454-ac8e-4ec217d077fa.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
3637,Douche/baignoire,150.0,Pisé,Sedge,1.0,23.0,"['ad78e966-7003-4949-a5da-0f6aca644219.jpeg', 'ed4dfde4-3ea2-45b5-92e1-b99bf9ee8cd6.jpeg', '2b51b385-f8c2-40e3-a2b0-5e8e6af0fe18.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
3679,Emetteur,30.0,Encaustic,Sedge,0.0,194.0,['d8758dc5-a075-479f-b270-3e1c946a511f.jpeg'],Technical elements,"Covering, Finish",Trim products,,,
3680,Emetteur,35.0,Encaustic,Sedge,0.0,194.0,['34863a5c-7917-4609-be81-1031474be797.jpeg'],Technical elements,"Covering, Finish",Trim products,,,
3681,Emetteur,40.0,Encaustic,Sedge,0.0,194.0,"['ce61a9f0-099b-4110-8f92-303e74254d2e.jpeg', '711c4140-ddb5-4b9e-a489-1fa034ccf072.jpeg']",Technical elements,"Covering, Finish",Trim products,,,
3691,/,10.0,Pisé,Sedge,0.0,186.0,"['d3ce9bbe-2d49-4fdc-93b9-11557449ffe8.jpeg', 'a48bc625-c0a4-4446-b5c5-fa353fd4429f.jpeg', 'f7275ddd-291d-4fd7-8747-c96a9703a869.jpeg', 'af36c018-f2dd-4b94-9989-bd7b03211b6a.jpeg', '756bfb9d-e682-4f22-b194-8342caef308a.jpeg']",Other,"Covering, Finish",Other,,,
3696,/,10.0,Pisé,Sedge,0.0,185.0,['40196f01-f19b-42ee-89a9-1f63011016b7.png'],Other,"Covering, Finish",Other,,,
3735,Emetteur,35.0,Encaustic,Sedge,0.0,194.0,"['9a017b5d-7740-44aa-9e15-a723d05fc679.jpeg', '3dbbde2f-1bf7-4bc4-b8fb-340f54d8a1ce.jpeg']",Technical elements,"Covering, Finish",Trim products,,,
3746,Emetteur,40.0,Encaustic,Sedge,0.0,194.0,"['9cd84457-70c2-43ee-8f38-a0eb79f74ac4.jpeg', '29c7ec53-a2e0-4eda-b327-4ef6ce946cf8.jpeg']",Technical elements,"Covering, Finish",Trim products,,,
3862,/,10.0,Pisé,Sedge,0.0,184.0,['01db7843-b28d-4bf8-9231-174683db9b4d.png'],Other,"Covering, Finish",Other,,,
4030,Tapis,50.0,Pisé,Sedge,1.0,20.0,"['2c4b4cb4-47ec-4fbb-b32f-08e21de361bb1681302623991-155880c8-9dac-4269-9dd7-1b565c05d283.jpeg', 'ff544410-f602-480c-93f5-86ebebb294121681302623991-e909c536-a2c9-4511-bd78-cc229a3caa00.jpeg']","Roof, Slabs, Stairs","Covering, Finish",Trim products,,,
4067,Pare-fumée,80.0,Pisé,Sedge,0.0,209.0,"['f7913655-3661-49a7-b864-6c15e0aa01d5.jpeg', '3598c873-e746-4cc5-b5a4-742adfec852a.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
