,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
4906,4906,5987,5987,2bcc0deb-c02f-4616-9a80-925f4fd423e4,Dalle luminaire,Dalle 3 néons fins . Dalle luminaire,verygood,lighting_general_equipment,D.50.20.02.3,LA MADELEINE,2023-03-22,14.0,14.0,0.0,"['4d6473d2-bd5e-4d9d-8a5b-176e27a710cc.jpeg', '444a3e89-c903-4ea1-aa91-9eb98c2d73f1.jpeg', 'c33d8d99-6f33-4ecf-ba66-d6374260be23.jpeg']",used,228.68,21.2,38.0,38.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.0014144229935482144, 'start': 0, 'end': 36, 'answer': 'Dalle 3 néons fins . Dalle luminaire'}",,,,,,,,,,,,,,,,,,,,,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
4920,4920,6001,6001,2fedbac0-0083-49ee-a8fc-edf28a42d528,Dalle luminaire, Dalle luminaire,verygood,lighting_general_equipment,D.50.20.02.3,LA MADELEINE,2023-03-22,14.0,14.0,0.0,"['7c79149e-41c0-4f83-8ab0-5a49e37e6570.jpeg', '57d58ddd-a05e-46e7-9b78-fd13d45ebbbb.jpeg', 'd2017470-e62b-45e9-9dcf-3bb128b7c6ec.jpeg']",used,228.68,21.2,66.0,66.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.06086931750178337, 'start': 1, 'end': 16, 'answer': 'Dalle luminaire'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
4927,4927,6008,6008,32de2393-ad69-4f10-bbcb-8ce1ba99378d,Dalle luminaire, Dalle luminaire rectangulaire avec tube au centre,verygood,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['f4f4298f-fa74-4ece-b532-00930c4c6a79.png'],used,228.68,21.2,9.0,9.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.0007921441574580967, 'start': 1, 'end': 50, 'answer': 'Dalle luminaire rectangulaire avec tube au centre'}",,,,,,,,,,,,,,,,,,,,,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
4969,4969,6052,6052,3e539c5b-9641-4348-b9e5-95b73dbeb109,Dalle luminaire, Dalle luminaire rectangulaire,verygood,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['79443e07-4b65-4d75-967f-0a556fc047b5.png'],used,228.68,21.2,42.0,42.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.00951391737908125, 'start': 1, 'end': 30, 'answer': 'Dalle luminaire rectangulaire'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire rectangulaire,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5030,5030,6119,6119,538ac9b5-7f88-4871-b5fe-312e16204cb6,Dalle luminaire,Dalle luminaire rectangulaire. Largeur : moitié de la dalle aluminum. Dalle luminaire,correct,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,"['f57ee72b-237f-440b-bf0c-e9f84bf6c550.png', '57199407-c955-495e-b0dc-195ec4508da1.png']",used,228.68,21.2,22.0,22.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 5.726570293518307e-07, 'start': 0, 'end': 30, 'answer': 'Dalle luminaire rectangulaire.'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire rectangulaire.,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5041,5041,6132,6132,5788341d-45fc-42cf-90fd-940fa9cc7b9a,Dalle luminaire,Dalle luminaire. Plafonnier encastré LED,correct,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['127a76df-cfa0-4a82-86c3-998f84a7e86d.jpeg'],used,228.68,21.2,19.0,19.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.002497257897630334, 'start': 16, 'end': 40, 'answer': ' Plafonnier encastré LED'}",,,,,,,,,,,,,,,,,,,,,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5045,5045,6137,6137,59fd01bf-14d9-4f04-bd18-62ec7458eb04,Dalle luminaire, Dalle luminaire carrée,verygood,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['7050e107-5aba-4310-aec9-190f728b0b55.png'],used,228.68,21.2,16.0,16.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.013824006542563438, 'start': 1, 'end': 23, 'answer': 'Dalle luminaire carrée'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire carrée,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5061,5061,6155,6155,5f43ae0a-5fec-4d33-9877-1d0d461c81b6,Lampe sur pied encastré,Lampadaire Led Marque We-ef . Candélabre encastré,verygood,lighting_general_equipment,D.50.20.02.5,LA MADELEINE,2023-03-22,250.0,250.0,0.0,"['41741a2e-b545-462f-ad62-aa34c67356f7.jpeg', '23a6f1b9-35ed-4ea6-8d3c-46e17e65ad79.jpeg', '3bec90b6-6ae2-4887-9013-ecb4cd869bd5.jpeg', '43322aeb-0f26-474b-85c5-51d191f57b86.jpeg']",used,267.25,1.5,10.0,10.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.0027921663131564856, 'start': 0, 'end': 29, 'answer': 'Lampadaire Led Marque We-ef .'}",,,,,,,,,,,,,,,,,,,,,,,,Sitka spruce,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Floors, Ceiling","Lighting columns, brackets and bollards"
5100,5100,6198,6198,6ad6c166-4f29-4875-8a1c-85fd95cb31a5,Dalle luminaire,Dalle luminaire led. Dalle luminaire,correct,lighting_general_equipment,D.50.20.02.3,LA MADELEINE,2023-03-22,33.0,33.0,0.0,"['b8c433a5-85e9-4d98-ac7d-e7934b0de3c4.jpeg', '052a67a6-2ad0-4c34-bf03-5cbd13d991ba.jpeg']",used,228.68,21.2,137.0,137.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.004105932079255581, 'start': 0, 'end': 20, 'answer': 'Dalle luminaire led.'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire led., led.,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5127,5127,6229,6229,793a500d-924a-4203-8841-083cc5dabd54,Dalle luminaire,Plafonnier rectangulaire encastré,correct,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,"['a3639968-01de-4784-89d4-881626d78ee4.jpeg', '3cf0843c-dc4b-4908-8601-be8c605bb58e.jpeg']",used,228.68,21.2,427.0,427.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.004581938497722149, 'start': 0, 'end': 33, 'answer': 'Plafonnier rectangulaire encastré'}",,,,,,,,,,,,,,,,,,,,Plafonnier rectangulaire encastré,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5162,5162,6267,6267,8701677c-7ff5-4809-b7ba-166766876eb6,Dalle luminaire,Plafonnier rectangulaire encastré. LED,correct,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['dadba9aa-d28f-4d97-926f-4a55fa16e4d9.jpeg'],used,228.68,21.2,15.0,15.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.007229392416775227, 'start': 0, 'end': 38, 'answer': 'Plafonnier rectangulaire encastré. LED'}",,,,,,,,,,,,,,,,,,,,,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
