,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
82,82,130,130,1297af80-74ce-4a44-82e9-12b4c6e97b03,Marche granito,Marches en pierre reconstituée type granito. Attente de résultat de test de dépose afin de garantir intégrité de l'élément après dépose.,correct,handrail,C.20.10.90.4e,CHELLES,2022-05-25,20.0,20.0,0.0,['3d7b2a96-f52f-4f53-a27f-e75864c70e98.jpg'],used,,,260.0,260.0,2023-09-24,FR,0.0,487.0,,,,,"{'score': 1.2376465292618377e-06, 'start': 0, 'end': 44, 'answer': 'Marches en pierre reconstituée type granito.'}",,,,,,,,,,,,,,,,,,,,,,,,Granite,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units
517,517,810,810,75597ad3-0ae3-4a20-841e-6a6bfbdadddd,Dalle de granit,"Dalles de granit n'ayant jamais servies, stockées en sous sol depuis quelques années, de 60*60 cm, d'épaisseur de 12 cm",correct,paved_surfaces,G.20.30.01.2c,ORLEANS,2022-04-15,20.0,20.0,0.0,['333cb253-2f84-4a5e-8df1-ff6e8b8a630a.png'],used,,,65.0,65.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 2.9352117962844204e-06, 'start': 0, 'end': 16, 'answer': 'Dalles de granit'}",,,,,,,,,,,,,,,,,,,,Dalles de granit,Dalles de granit,,,Granite,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units
700,700,1101,1101,9f8237d5-175e-4ee4-9273-d008bb0d1893,Dalle de granit,"Longueur : 103cm
Largeur : 12,5
Epaisseur : 2 cm",verygood,other_outer_envelope,B.20.10.90,SAINT-OUEN,2021-05-25,20.0,20.0,0.0,"['9d03f403-37e6-4eab-bb73-4700c14ab96c.JPG', 'f08622bb-9bc4-4572-be24-45789b5737c1.JPG', '70e215e2-1e8b-4bbe-8fff-122698fbb49e.JPG', '342399c1-9c7f-43bb-9033-28ade62ee717.JPG', '3e0ed540-b2e3-47f4-9636-8d30f3331e11.JPG']",used,,,112.0,112.0,2022-09-26,FR,1.0,489.0,,,,,"{'score': 2.5966787120523804e-07, 'start': 0, 'end': 16, 'answer': 'Longueur : 103cm'}",,,,,,,,,,,,,,,,,,,,,,,,Granite,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units
1488,1488,2169,2169,57accf27-444d-4627-a098-a1fc850145a7,Dalle de granit,"Longueur : 103cm
Largeur : 12,5
Epaisseur : 2 cm",verygood,other_outer_envelope,B.20.10.90,LOIRE-SUR-RHONE,2022-09-21,20.0,20.0,0.0,"['9d923f30-8be1-49df-b9f7-564c32213f74.JPG', '6cea0e0f-e063-4cc0-bf46-940fc49cd902.JPG', '376d1e48-32d0-4cf7-ae81-23de95366c95.JPG', 'e147a797-8385-4b3c-8846-6d7848199741.JPG', '11095cd7-abda-498d-a4bc-1b94ba2c758f.JPG']",used,0.0,0.0,29.0,100.0,2023-09-24,FR,0.0,368.0,,,,,"{'score': 2.5966787120523804e-07, 'start': 0, 'end': 16, 'answer': 'Longueur : 103cm'}",,,,,,,,,,,,,,,,,,,,,,,,Granite,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units
1491,1491,2172,2172,588d1393-6b40-435c-a3a9-62acae206c69,Dallage pierre,dimensions variables,verygood,paved_surfaces,G.20.30.01.2b,LES SABLES-D'OLONNE,2022-09-16,30.0,30.0,0.0,['153f0bce-25da-421c-8c95-748488c7c118.Jpeg'],used,2.73,90.0,14.0,14.0,2022-10-03,FR,1.0,17.0,,,,,"{'score': 1.3669789950654376e-05, 'start': 0, 'end': 20, 'answer': 'dimensions variables'}",,,,,,,,,,,,,,,,,,,,dimensions variables,, variables,,Stone,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units
2050,2050,2808,2808,37b1ed87-ea8f-49ac-b0aa-2b95a7299772,Dalles en pierres,"- Dalles en pierre x10 (ép. 3cm)
- 45x125cm (séjour gauche, bon état)
- 45x126cm (séjour gauche, bon état)
- 45x118cm (séjour gauche, fissuré voir photo)
- 43x132cm (séjour droite, bon état)
- 43x131cm (séjour droite, bon état)",damaged,pavement_coating,G.20.10.06.1,PARIS-6E-ARRONDISSEMENT,2022-11-04,30.0,30.0,0.0,"['046cd2f3-96d2-4554-9223-d30e57d7cc4b.jpeg', 'a3f90665-b820-4136-be9f-2c854aa24460.jpeg', 'ca9ef037-8e50-42d6-8605-6a2f8b0c3b12.png', 'bc9b0bda-4d2c-4a82-92be-4cf207b9c024.png']",used,0.0,100.0,10.0,10.0,2022-11-20,FR,1.0,16.0,,,,,"{'score': 4.549995367142401e-07, 'start': 1, 'end': 22, 'answer': ' Dalles en pierre x10'}",,,,,,,,,,,,,,,,,,,,, Dalles en pierre,,,Stone,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
5663,5663,6801,6801,9793c5c3-dc9e-41a2-a6b2-a8b600cfab0e,Dalles en pierre,Dalle en pierre naturelle pour revêtement de façade extérieur. Parement de façade en pierre agrafée. Dalle de taille variable.,correct,exterior_claddings,B.20.10.02.3,BOULOGNE-BILLANCOURT,2023-04-11,50.0,50.0,0.0,"['d6078565-2b19-4aea-b85f-cca388a75810.jpeg', 'f99b4582-a372-4773-9f44-151ec1188aea.jpeg', '0b84af86-bce2-4fb3-9486-adb3a2b04b5a.jpeg', '7eb560aa-03aa-4798-a581-49375ae2219f.jpeg']",used,0.0,43.6,312.0,312.0,2023-09-24,FR,0.0,166.0,,,,,"{'score': 1.5423195236508036e-06, 'start': 0, 'end': 25, 'answer': 'Dalle en pierre naturelle'}",,,,,,,,,,,,,,,,,,,,,Dalle en pierre naturelle,,,Stone,Stone slabs,Pr_35_93_96_85,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
