,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
4504,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/260450/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,260450,"['/dyn/resources/Shop_Model_Product/image/0/260450/1637239009/old2columns/260450.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/321775/1637239016/old2columns/260450.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/321776/1637239019/old2columns/260450.jpg']",89.5,cm,214.5,cm,15.5,cm,1.0,2300.0,2023-07-09,2023-09-26,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,79.0,1.0
4509,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/33517/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,33517,"['/dyn/resources/Shop_Model_Product/image/7/33517/1558614898/old2columns/fyldningsdoer-med-glas-og-karm-33517.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/79157/1558614898/old2columns/fyldningsdoer-med-glas-og-karm-33517.jpg']",88.0,cm,214.0,cm,11.5,cm,1.0,1400.0,2023-07-15,2023-09-18,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,65.0,1.0
4510,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/55574/fyldningsdoer-med-glas-i-karm,Fyldningsdør med glas - i karm,55574,"['/dyn/resources/Shop_Model_Product/image/4/55574/1558423379/old2columns/fyldningsdoer-med-glas-i-karm-55574.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/133080/1558423377/old2columns/fyldningsdoer-med-glas-i-karm-55574.jpg']",97.0,cm,212.0,cm,10.5,cm,1.0,1500.0,2023-07-01,2023-09-28,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,89.0,1.0
4511,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/33516/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,33516,"['/dyn/resources/Shop_Model_Product/image/6/33516/1557924962/old2columns/fyldningsdoer-med-glas-og-karm-33516.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/79155/1557924960/old2columns/fyldningsdoer-med-glas-og-karm-33516.jpg']",88.0,cm,214.0,cm,12.0,cm,1.0,1400.0,2023-07-04,2023-09-07,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,65.0,1.0
5312,Doors and  Windows,Brugte Døre,Terrassedøre,/doere-vinduer/brugte-doere/yderdoere/terrassedoere/266796/smal-terrassedoer-med-3-lags-glas-velfacmed-skade,"Smal terrassedør med -lags glas , Velfac/med skade",266796,"['/dyn/resources/Shop_Model_Product/image/6/266796/1686815025/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/348176/1686815012/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/348181/1686815017/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/348177/1686815014/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/348178/1686815014/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/348179/1686815015/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348182/1686815018/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/348183/1686815019/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/348184/1686815019/old2columns/266796.jpg']",66.4,cm,225.5,cm,12.4,cm,1.0,500.0,2023-09-21,2023-09-21,Genbyg,DK,dk,Architectural glass,Glass infill gate leaves,Pr_30_59_33_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.0,0.0
5337,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267440/fyldningsdoer-med-glas,Fyldningsdør med glas,267440,"['/dyn/resources/Shop_Model_Product/image/0/267440/1694525051/old2columns/267440.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350730/1693390975/old2columns/267440.jpg']",78.0,cm,203.0,cm,3.5,cm,1.0,600.0,2023-09-30,2023-10-11,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,11.0,1.0
5338,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267258/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267258,"['/dyn/resources/Shop_Model_Product/image/8/267258/1692964242/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350586/1692964130/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350585/1692964124/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/350587/1692964131/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350588/1692964133/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/350589/1692964134/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350590/1692964136/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg']",90.5,cm,205.5,cm,12.0,cm,1.0,9500.0,2023-10-09,2023-10-18,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,9.0,1.0
5340,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267076/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267076,"['/dyn/resources/Shop_Model_Product/image/6/267076/1690272392/old2columns/267076.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349417/1690272397/old2columns/267076.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349418/1690272399/old2columns/267076.jpg']",89.0,cm,203.5,cm,12.0,cm,1.0,3500.0,2023-10-01,2023-10-03,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,2.0,1.0
5663,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/268520/dobbelt-fyldningsdoer-med-glas,Dobbelt fyldningsdør med glas,268520,"['/dyn/resources/Shop_Model_Product/image/0/268520/1701769433/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/356255/1701769444/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/356256/1701769445/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/356257/1701769446/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/356253/1701769439/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/356254/1701769441/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/356258/1701769448/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/356259/1701769451/old2columns/dobbelt-fyldningsdoer-med-glas-268520.jpg']",88.0,cm,247.0,cm,11.8,cm,1.0,18000.0,2023-10-22,2023-11-06,Genbyg,DK,dk,Structural glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
5673,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/268546/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,268546,"['/dyn/resources/Shop_Model_Product/image/6/268546/1701856769/old2columns/268546.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/356291/1701856773/old2columns/268546.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/356293/1701856776/old2columns/268546.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/356294/1701856777/old2columns/268546.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/356295/1701856778/old2columns/268546.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/356296/1701856780/old2columns/268546.jpg']",103.0,cm,210.0,cm,12.0,cm,1.0,8500.0,2023-10-14,2023-11-06,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
5674,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/268511/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,268511,"['/dyn/resources/Shop_Model_Product/image/1/268511/1701334438/old2columns/268511.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/356182/1701334325/old2columns/268511.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/356181/1701334319/old2columns/268511.jpg']",77.0,cm,209.0,cm,9.0,cm,1.0,3500.0,2023-10-31,2023-11-06,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
5675,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/268505/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,268505,"['/dyn/resources/Shop_Model_Product/image/5/268505/1701268074/old2columns/268505.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/356173/1701268088/old2columns/268505.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/356170/1701268083/old2columns/268505.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/356171/1701268085/old2columns/268505.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/356172/1701268087/old2columns/268505.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/356174/1701268089/old2columns/268505.jpg']",78.0,cm,209.0,cm,8.3,cm,1.0,7500.0,2023-10-12,2023-11-06,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
5676,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/268538/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,268538,"['/dyn/resources/Shop_Model_Product/image/8/268538/1701778624/old2columns/268538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/356244/1701766746/old2columns/268538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/356245/1701766756/old2columns/268538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/356246/1701766758/old2columns/268538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/356248/1701766763/old2columns/268538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/356249/1701766765/old2columns/268538.jpg']",103.0,cm,210.0,cm,12.0,cm,1.0,8500.0,2023-10-25,2023-11-06,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
