,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after
0,00249fb6-3011-411f-a276-7f92e35a8981,Table,"Table à manger, de longueur de 120 cm, largeur de 80 cm et hauteur de 76 cm.",correct,ovens,E.10.90.02.46,PARIS-13E-ARRONDISSEMENT,2022-08-11,10.0,10.0,0.0,['/upload/material/images/84c53165-3f30-4c10-b281-ff358f8e2114.jpeg'],used,,,69.0,69.0,2023-04-24,FR,1.0,266.0
1,028d30ca-750e-476e-82a0-c07bffa952eb,Dalle luminaire LED,"Dalles luminaires quasi neuve, ayant été utilisées 15 jours. Possibilité d'un stock plus grand, pour cela, contactez le service-client cycle-up
Une palette comprend 52 dalles.  Les dalles sont reconditionnées dans leurs cartons d’origine. Le colisage d’une palette : Longueur : 136 cm Largeur : 72 cm Hauteur : 117 cm Poids : 117 Kg La référence spécifique de ces dalles : https://www.sylvania-lighting.com/product/en-int/products/0048401/
Pour des quantités différentes, nous consulter.",verygood,lighting_general_equipment,D.50.20.02.3,SAINT-OUEN,2022-03-16,15.0,15.0,0.0,"['/upload/material/images/3206e9d5-f579-49f5-8fee-5e9b9167319b.JPG', '/upload/material/images/7284acf2-ebbe-4711-9812-e1ad5533d836.JPG', '/upload/material/images/83257f69-e432-4b2e-84b4-861c976223e7.JPG', '/upload/material/images/22558311-edfe-427c-927e-30be4dc5ba40.PNG', '/upload/material/images/c18bffcd-891d-4076-8489-d91c03a61078.PNG']",used,,,1003.0,200.0,2023-04-05,FR,1.0,391.0
2,030d5007-41bc-4b62-a1b4-701240a9461b,Porte coulissante métallique,"Porte coulissante métallique
L totale 3,70m",correct,sliding_and_folding_doors,C.10.20.04.2a,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['/upload/material/images/2b2e71dc-774d-4056-a55f-9973af13b22e.jpeg'],used,,,1.0,1.0,2023-04-26,FR,1.0,398.0
3,045b9c82-a94a-4c58-b5e9-361969a65a61,Porte de placard,Porte de placard en bois vernis aspect couleur miel.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,40.0,40.0,0.0,"['/upload/material/images/51e2c83a-9555-4823-9de1-8aac90134eea.jpeg', '/upload/material/images/4b51a8ef-3cd6-4366-9a77-2358e9f284ff.jpeg', '/upload/material/images/3f0e58ef-08b3-46c3-948e-ad3b3ed5ea98.jpeg']",used,,,43.0,43.0,2023-03-27,FR,1.0,313.0
4,072fc35a-418d-46aa-96fb-f08df6eb74fb,Distributeur de savon,"Distributeur de savon, en métal.",verygood,bath_and_toilet_accessories,C.10.30.02.7,PARIS-13E-ARRONDISSEMENT,2022-08-11,15.0,15.0,0.0,"['/upload/material/images/2c29b06f-520f-4942-a42c-b5908405a8b9.JPG', '/upload/material/images/9504e027-e051-42c1-82c8-adf0c61069e7.JPG']",used,,,1.0,1.0,2023-04-21,FR,1.0,266.0
5,07dee294-5bef-4e9b-9d2b-66a506197181,Caméra,Caméra de vidéo surveillance fixé par un pied au mur.,correct,security_system,D.50.30.05.1,CHAMPS-SUR-MARNE,2022-04-05,30.0,30.0,0.0,['/upload/material/images/d0b23ea2-3082-4252-ba16-37c4b064dea2.jpeg'],used,,,6.0,6.0,2023-04-20,FR,1.0,394.0
6,0978e8e6-078a-4a34-80a1-a51d6dc2db21,Bac acier,Bac acier,correct,slope_/_flat_roof,B.30.10.01.8,VILLENEUVE-SAINT-GEORGES,2022-04-01,10.0,10.0,0.0,['/upload/material/images/229d3128-5fc7-453a-bbc0-0e6d55f4f8b2.jpeg'],used,,,29.0,29.0,2023-04-25,FR,1.0,398.0
7,0a98653e-cc88-4cd7-bbee-9f27f9d6dc51,Fenêtre PVC,Fenêtre PVC,correct,windows,B.20.20.01.5f,VILLENEUVE-SAINT-GEORGES,2022-04-01,35.0,35.0,0.0,['/upload/material/images/6da2e584-025c-4daa-b8f8-52c20cee199e.jpeg'],used,,,3.0,3.0,2023-04-20,FR,1.0,398.0
8,0d7c0737-72e0-4b93-9dd4-69930f987ae0,Chemin de câble,Chemin de câble,correct,cable_path,D.50.10.07.a,VILLENEUVE-SAINT-GEORGES,2022-04-01,3.0,3.0,0.0,['/upload/material/images/c685d762-a721-4e6d-9cf9-c2457148f1a4.jpeg'],used,,,35.0,35.0,2023-04-25,FR,1.0,398.0
9,0df9ce28-4f0b-4190-9c69-e1ba47b22648,Diffuseur de parfum,"Diffuseur de parfum, de la marque Initial, de couleur blanc.",verygood,bath_and_toilet_accessories,C.10.30.02.1,PARIS-13E-ARRONDISSEMENT,2022-08-11,15.0,15.0,0.0,"['/upload/material/images/d4bfff74-8918-4865-8d1c-254b7ed1354e.JPG', '/upload/material/images/b5a3c9f2-b07f-4e69-8537-36e94b717476.JPG']",used,,,42.0,42.0,2023-04-28,FR,1.0,266.0
