,Name,URL,Price,Business,Category,Subcategory,Country,Location,Description,Dimensions,Age,ItemID,SellerID,SellersStockID,DateOfListing,Imagefiles,LastUpOn
38,Reclaimed Cast Iron Fire Basket with Brass Finials,https://www.salvoweb.com/35737-reclaimed-cast-iron-fire-basket-with-brass-finials,£ 650  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-04-01
39,Reclaimed Polished Fire Basket with Finials,https://www.salvoweb.com/35736-reclaimed-polished-fire-basket-with-finials,£ 750  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-04
40,Victorian Style Carrara Marble Fireplace Surround,https://www.salvoweb.com/35733-victorian-style-carrara-marble-fireplace-surround,£ 1320  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-08-04
41,Post Office Original Genuine ER II Double Cast Iron Pillar Box,https://www.salvoweb.com/35696-post-office-original-genuine-er-ii-double-cast-iron-pillar-box,"£ 12,995  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-05-05
42,Vintage Reclaimed Chilstone Statue of a Young Man on a Plinth,https://www.salvoweb.com/35677-vintage-reclaimed-chilstone-statue-of-a-young-man-on-a-plinth,£ 995  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-03-26
43,Pair of Original Reclaimed Coalbrookdale Cast Iron Boot Scrapers,https://www.salvoweb.com/35676-pair-of-original-reclaimed-coalbrookdale-cast-iron-boot-scrapers,£ 695  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-07-27
44,Garden Original Antique Reclaimed Old Staddle Hand Carved Stone,https://www.salvoweb.com/35671-garden-original-antique-reclaimed-old-staddle-hand-carved-stone,£ 595  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-07-25
45,Antique Original Large Cast Iron Pavement Light by Haywards,https://www.salvoweb.com/35670-antique-original-large-cast-iron-pavement-light-by-haywards,"£ 2,250  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Flooring,UK,UK > Staffordshire,,,,,,,,,2023-08-31
46,Large Original English Carved Solid Stone Garden Trough,https://www.salvoweb.com/35655-large-original-english-carved-solid-stone-garden-trough,"£ 5,400  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-03-24
47,Outdoor Reclaimed Victorian Reclaimed Copper Garden Pot / Planter,https://www.salvoweb.com/35638-outdoor-reclaimed-victorian-reclaimed-copper-garden-pot-planter,£ 825  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-07-22
