,Name,URL,Price,Business,Category,Subcategory,Country,Location,Description,Dimensions,Age,ItemID,SellerID,SellersStockID,DateOfListing,Imagefiles,LastUpOn
87,Reclaimed Old Pitch Pine Solid Internal Door - M,https://www.salvoweb.com/35348-reclaimed-old-pitch-pine-solid-internal-door-m,£ 99  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Doors & Handles,UK,UK > Staffordshire,,,,,,,,,2023-08-17
88,Reclaimed Old Pitch Pine Solid Internal Door - J,https://www.salvoweb.com/35333-reclaimed-old-pitch-pine-solid-internal-door-j,£ 99  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Doors & Handles,UK,UK > Staffordshire,,,,,,,,,2023-07-27
89,Reclaimed Old Pitch Pine Solid Internal Door - E,https://www.salvoweb.com/35317-reclaimed-old-pitch-pine-solid-internal-door-e,£ 99  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Doors & Handles,UK,UK > Staffordshire,,,,,,,,,2023-04-19
90,Reclaimed Antique Oversized Ornate French Brass Lantern,https://www.salvoweb.com/35302-reclaimed-antique-oversized-ornate-french-brass-lantern,£ 15000  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,,,,,,,,,2023-03-22
91,Antique Art Nouveau Cast Iron Combination Fireplace,https://www.salvoweb.com/35299-antique-art-nouveau-cast-iron-combination-fireplace,£ 1200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-05-19
92,Large Old Kitchen Maple Original Butchers Chopping Block,https://www.salvoweb.com/35279-large-old-kitchen-maple-original-butchers-chopping-block,"£ 2,150  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Kitchen & Accessories,UK,UK > Staffordshire,,,,,,,,,2023-06-24
93,Georgian Style Bullseye Marble Fireplace with Birds Beak Shelf,https://www.salvoweb.com/35264-georgian-style-bullseye-marble-fireplace-with-birds-beak-shelf,"£ 1,860  ",Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-03-25
94,Simple Reclaimed Cast Iron Fire Basket,https://www.salvoweb.com/35263-simple-reclaimed-cast-iron-fire-basket,£ 320  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-10
95,Large Antique Georgian Style Cast Iron Fireplace Surround,https://www.salvoweb.com/35262-large-antique-georgian-style-cast-iron-fireplace-surround,£ 2200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-17
96,Reclaimed Teak / Iroko Worktop  180cm X 60cm,https://www.salvoweb.com/35261-reclaimed-teak-iroko-worktop-180cm-x-60cm,£ 250  ,Architectural Forum,Antique & Reclaimed,Timber,UK,UK > Hertfordshire,,,,,,,,,2023-05-24
97,Reclaimed Cast Iron Fire Basket with Brass Finials & Legs,https://www.salvoweb.com/35259-reclaimed-cast-iron-fire-basket-with-brass-finials-legs,£ 450  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-06-11
98,Victorian Original Solid Brass Altar and Candelabra Candlesticks,https://www.salvoweb.com/35256-victorian-original-solid-brass-altar-and-candelabra-candlesticks,"£ 1,295  ",UK Architectural Antiques Ltd,Antique & Reclaimed,"Shop, Pub, Church, Telephone Boxes & Bygones",UK,UK > Staffordshire,,,,,,,,,2023-05-12
99,Very Fine Indo Persian Hand Knotted Rug/Carpet,https://www.salvoweb.com/35254-very-fine-indo-persian-hand-knotted-rugcarpet,£ 995  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Staffordshire,,,,,,,,,2023-08-15
100,Reclaimed Twyford Ceramic Mop Sink,https://www.salvoweb.com/35240-reclaimed-twyford-ceramic-mop-sink,£ 300  ,Architectural Forum,Antique & Reclaimed,Kitchen & Accessories,UK,UK > Hertfordshire,,,,,,,,,2023-06-18
101,Antique Ornate Late Georgian Cast Iron Fireplace Insert,https://www.salvoweb.com/35239-antique-ornate-late-georgian-cast-iron-fireplace-insert,£ 1800  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-08-19
102,Antique Cast Iron Ornate Fireplace Tidy | Betty | Ashpan Cover,https://www.salvoweb.com/35233-antique-cast-iron-ornate-fireplace-tidy-betty-ashpan-cover,£ 130  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-08-14
103,Antique Victorian Cast Iron Arched Fireplace Insert,https://www.salvoweb.com/35232-antique-victorian-cast-iron-arched-fireplace-insert,£ 1140  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-02
104,Job Lot of 99 Original Genuine Ten Pin Bowling Alley Balls,https://www.salvoweb.com/35229-job-lot-of-99-original-genuine-ten-pin-bowling-alley-balls,£ 295  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-07-06
105,Antique Cast Iron Fireplace Insert with Arched Opening,https://www.salvoweb.com/35225-antique-cast-iron-fireplace-insert-with-arched-opening,£ 1320  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-06-04
106,Antique Victorian Admiral Captain's Chair | Smoker's Bow Chair,https://www.salvoweb.com/35224-antique-victorian-admiral-captains-chair-smokers-bow-chair,£ 350  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,,,,,,,,,2023-06-13
107,Reclaimed Granite Paves | Paving Slabs 60m² Available,https://www.salvoweb.com/35221-reclaimed-granite-paves-paving-slabs-60m-available,£ 54  ,Architectural Forum,Antique & Reclaimed,Flagstones & Floor Tiles,UK,UK > Hertfordshire,,,,,,,,,2023-04-11
108,Reclaimed Cast Iron Fire Basket,https://www.salvoweb.com/35220-reclaimed-cast-iron-fire-basket,£ 250  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-06-08
109,Reclaimed Victorian Style Statuary Marble Fireplace Surround,https://www.salvoweb.com/35218-reclaimed-victorian-style-statuary-marble-fireplace-surround,£ 950  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-05
