,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
243,1024,1024,Kühl-/Gefrierkombination -Türig :,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: V-Zug
Model: Prestige EK1422BF-EA
1.Inbetriebnahme: 2018
Bauform: Einbau/CH Norm
Nutzinhalt: 287l
Farbe: Schwarz/Nero
Türanschlag: links, wechselbar
Energieklassee: A++
Beleuchtung: LED
Displayanzeige
3 Gefrierfachschubladen
Anschluss: 230V

Zustand: Kratzer auf der oberen Türe.",,,,,,,,,,430.0,,,1970-01-01,430.0,1970-01-01 00:00:00.000,0.0,1.0,15.0,"Brügg, 2555",,useagain,82778,CH,de,,https://www.useagain.ch/de/kuehl-gefrierkombination-2-tuerig-jg-2018-82778,H03.05,refrigerator,,,,"{'score': 0.1329779475927353, 'start': 116, 'end': 129, 'answer': ' Schwarz/Nero'}","{'score': 0.008606546558439732, 'start': 104, 'end': 109, 'answer': ' 287l'}","{'score': 0.9500415921211243, 'start': 104, 'end': 109, 'answer': ' 287l'}",Slag bound mixtures,Fridge-freezers,Pr_40_70_26_32,Other,Other,Space heating and cooling products
2225,3083,3083,Kühl-Gefrierkombination / Kühl- und Gefrierschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: V-Zug
Modell: Prestige
Erste Inbetriebnahme: 2017
Energieklasse: A++
Farbe: weiss
Bauform: Einbaugerät / CH-Norm
2-türig, Bandung links, wechselbar
Nutzinhalt gesamt: 287 Liter (221 l / 66 l)
Anschluss: 230V
Zustand: kleine Delle an der Front, siehe Bilder
Bedienungsanleitung nur als pdf",,,,,,,,,2023-01-19,430.0,,,1970-01-01,430.0,1970-01-01 00:00:00.000,0.0,1.0,26.0,"Brügg, 2555",,useagain,91640,CH,de,1_%28318%29_570x570.jpg,https://www.useagain.ch/de/kuehl-gefrierkombination-kuehl-und-gefrierschrank-91640,H03.05,refrigerator,,,,"{'score': 0.009142006747424603, 'start': 87, 'end': 93, 'answer': ' weiss'}","{'score': 0.19245104491710663, 'start': 178, 'end': 188, 'answer': ' 287 Liter'}","{'score': 0.7200466394424438, 'start': 178, 'end': 188, 'answer': ' 287 Liter'}",Air-cooled steel slag,Fridge-freezers,Pr_40_70_26_32,Other,Other,Space heating and cooling products
2470,3653,3653,Gefrierfachtüre Kühlschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2897,,,,,,,,,2023-01-24,20.0,,,1970-01-01,20.0,1970-01-01 00:00:00.000,0.0,1.0,2.0,"Zürich, 8050",,useagain,91758,CH,de,2897-2_570x570.jpg,https://www.useagain.ch/de/gefrierfachtuere-kuehlschrank-91758,H03.05,freezer door,,,,"{'score': 0.0012158264871686697, 'start': 12, 'end': 17, 'answer': ' 2897'}","{'score': 0.00016669151955284178, 'start': 12, 'end': 17, 'answer': ' 2897'}","{'score': 0.5037367939949036, 'start': 12, 'end': 17, 'answer': ' 2897'}",Insulating glass,Fridge-freezers,Pr_40_70_26_32,Other,"Door, Windows, Gates",Space heating and cooling products
2492,3675,3675,Gefrierfachtüre Kühlschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2896,,,48.0,"16,8",,,,,2023-01-24,20.0,,,1970-01-01,20.0,2023-09-25 00:00:00.000,0.0,1.0,90.0,"Zürich, 8050",,useagain,91757,CH,de,2896-2_570x570.jpg,https://www.useagain.ch/de/gefrierfachtuere-kuehlschrank-91757,H03.05,freezer door,,,,"{'score': 0.0018155842553824186, 'start': 12, 'end': 17, 'answer': ' 2896'}","{'score': 0.0002563855960033834, 'start': 12, 'end': 17, 'answer': ' 2896'}","{'score': 0.6147823333740234, 'start': 12, 'end': 17, 'answer': ' 2896'}",Insulating glass,Fridge-freezers,Pr_40_70_26_32,Other,"Door, Windows, Gates",Space heating and cooling products
2493,3676,3676,Gefrierfachtüre Kühlschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2895,,,48.0,28,,,,,2023-01-24,20.0,,,1970-01-01,20.0,2023-09-25 00:00:00.000,0.0,1.0,90.0,"Zürich, 8050",,useagain,91756,CH,de,2895-2_570x570.jpg,https://www.useagain.ch/de/gefrierfachtuere-kuehlschrank-91756,H03.05,freezer door,,,,"{'score': 0.0007772246608510613, 'start': 12, 'end': 17, 'answer': ' 2895'}","{'score': 0.000307584268739447, 'start': 12, 'end': 17, 'answer': ' 2895'}","{'score': 0.8166708946228027, 'start': 12, 'end': 17, 'answer': ' 2895'}",Insulating glass,Fridge-freezers,Pr_40_70_26_32,Other,"Door, Windows, Gates",Space heating and cooling products
2494,3677,3677,Gefrierfachtüre Kühlschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2894,,,46.0,21,,,,,2023-01-24,20.0,,,1970-01-01,20.0,1970-01-01 00:00:00.002,0.0,1.0,90.0,"Zürich, 8050",,useagain,91755,CH,de,2894-2_570x570.jpg,https://www.useagain.ch/de/gefrierfachtuere-kuehlschrank-91755,H03.05,freezer door,,,,"{'score': 0.0011718727182596922, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2894'}","{'score': 0.0002482534619048238, 'start': 12, 'end': 17, 'answer': ' 2894'}","{'score': 0.5820963978767395, 'start': 12, 'end': 17, 'answer': ' 2894'}",Insulating glass,Fridge-freezers,Pr_40_70_26_32,Other,"Door, Windows, Gates",Space heating and cooling products
2621,3805,3805,Kühl-Gefrierkombination / Kühl- und Gefrierschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Electrolux
Modell: EK 302 11 RE
Baujahr: 2012
Farbe: weiss
Bauform: Einbau / CH-Norm
Nutzinhalt: 291 Liter
2-türig, rechtsbandig
Anschluss: 230V
Bedienungsanleitung nur als pdf",,,,,,,,,2023-02-10,170.0,,,1970-01-01,170.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Brügg, 2555",,useagain,91927,CH,de,1_%28336%29_570x570.jpg,https://www.useagain.ch/de/kuehl-gefrierkombination-kuehl-und-gefrierschrank-91927,H03.05,refrigerator,,,,"{'score': 0.003770093899220228, 'start': 64, 'end': 70, 'answer': ' weiss'}","{'score': 0.44444382190704346, 'start': 108, 'end': 118, 'answer': ' 291 Liter'}","{'score': 0.9720250964164734, 'start': 108, 'end': 118, 'answer': ' 291 Liter'}",Air-cooled steel slag,Fridge-freezers,Pr_40_70_26_32,Other,Other,Space heating and cooling products
2624,3808,3808,Kühlschrank Whirlpool,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Whirlpool
Masse: H: 142 cm B: 54cm T:58 cm
Farbe: weiss
Spannung: 230
Garantie: 6 Monate
Mängel: ohne Mängel
Zustand: occasion/gebraucht

Artikel Nr: 112574",,58.0,54.0,142,,,white,,2023-02-13,150.0,,,1970-01-01,150.0,1970-01-01 00:00:00.000,0.0,1.0,81.0,"Münchenstein, 4142",,useagain,91938,CH,de,112574_570x570.jpg,https://www.useagain.ch/de/kuehlschrank-whirlpool-91938,H03.05,refrigerator,,,,"{'score': 0.00938512571156025, 'start': 61, 'end': 67, 'answer': ' weiss'}","{'score': 0.633970320224762, 'start': 28, 'end': 54, 'answer': ' H: 142 cm B: 54cm T:58 cm'}","{'score': 0.05375463515520096, 'start': 28, 'end': 54, 'answer': ' H: 142 cm B: 54cm T:58 cm'}",Wychert,Fridge-freezers,Pr_40_70_26_32,Other,Other,Space heating and cooling products
2630,3814,3814,Kühlschrank mit Gefrierfächer,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: VZUG
Baujahr: 2017
Masse: H: 176cm B: 54cm T: 56cm 
Spannung: 230V
Energieklasse: A+++
Garantie: 6 Monate
Mängel: ohne Mängel
Zustand: occasion/gebraucht

Artikel Nr: 112571",,56.0,54.0,176,,,,,2023-02-13,379.0,,,1970-01-01,379.0,1970-01-01 00:00:00.000,0.0,1.0,81.0,"Münchenstein, 4142",,useagain,91935,CH,de,112571_570x570.jpg,https://www.useagain.ch/de/vzug-kuehlschrank-mit-3-gefrierfaecher-91935,H03.05,refrigerator,,,,"{'score': 1.0583474931991077e-06, 'start': 0, 'end': 16, 'answer': 'Hersteller: VZUG'}","{'score': 0.5396096706390381, 'start': 37, 'end': 62, 'answer': ' H: 176cm B: 54cm T: 56cm'}","{'score': 0.0698193907737732, 'start': 37, 'end': 62, 'answer': ' H: 176cm B: 54cm T: 56cm'}",Air-cooled steel slag,Fridge-freezers,Pr_40_70_26_32,Other,Other,Space heating and cooling products
2819,4003,4003,Kühl-Gefrierkombination / Kühl- und Gefrierschrank,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Miele
Modell: KDN 37232 iD
Baujahr: 2017
Energieklasse: A++
Bauform: Einbaugerät / Euro-Norm / integriert
2-türig
Türbandung: rechts, wechselbar
Türfront: braune Möbeltür (mit Beschädigungen), wechselbar
Nutzinalt: 199/63 Liter
Anschluss: 230V",Mixed,55.0,55.0,177,,61,,,2023-02-24,380.0,,,1970-01-01,380.0,1970-01-01 00:00:00.000,0.0,1.0,25.0,"Brügg, 2555",,useagain,92049,CH,de,1_%28342%29_570x570.jpg,https://www.useagain.ch/de/kuehl-gefrierkombination-kuehl-und-gefrierschrank-92049,H03.05,refrigerator,,,,"{'score': 2.2425235783885e-06, 'start': 166, 'end': 173, 'answer': ' braune'}","{'score': 0.04459184780716896, 'start': 226, 'end': 239, 'answer': ' 199/63 Liter'}","{'score': 0.9412611722946167, 'start': 226, 'end': 239, 'answer': ' 199/63 Liter'}",Air-cooled steel slag,Fridge-freezers,Pr_40_70_26_32,Other,Other,Space heating and cooling products
