,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
379,1182,1182,De Dietrich Glaskeramik,,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Â· Induktion
Â· Edelstahlrahmen
Â· 2800 W",Glass-ceramics,,,,,,,,2022-06-15,500.0,,,1970-01-01,500.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Zug, 6300",,useagain,82537,CH,de,,https://www.useagain.ch/de/de-dietrich-glaskeramik-82537,H03.05,glass ceramic hob,,,,"{'score': 0.8195143342018127, 'start': 16, 'end': 32, 'answer': ' Edelstahlrahmen'}","{'score': 0.14799602329730988, 'start': 16, 'end': 32, 'answer': ' Edelstahlrahmen'}","{'score': 0.8162797689437866, 'start': 36, 'end': 43, 'answer': ' 2800 W'}",Dichromatic glass,Glazed structures,Pr_20_65_34,Structural elements,Other,Glass blocks and panels
468,1280,1280,Glaskeramikkochfeld autark,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Glaskeramikkochfeld Flächenbündig Autark

Hersteller: V-Zug
Modell: GK45TEF TOPTRONIC
1.Inbetriebnahme: 2008
Ausführung: flächenbündig
Bedienart: Autark, Touch-Bedienung
Anschluss: 400V 2/3 50Hz, muss von einem Fachmann installiert werden
Zustand: Allgm. Gebrauchsspuren

Einbaumasse: B 53.3cm x T 46.5cm",Glass-ceramics,,,,,,,,,180.0,,,1970-01-01,180.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,83148,CH,de,,https://www.useagain.ch/de/glaskeramikkochfeld-autark-83148,H03.05,glass ceramic hob,,,,"{'score': 0.0003510710666887462, 'start': 255, 'end': 278, 'answer': ' Allgm. Gebrauchsspuren'}","{'score': 0.6131767630577087, 'start': 294, 'end': 314, 'answer': ' B 53.3cm x T 46.5cm'}","{'score': 0.00025607747375033796, 'start': 280, 'end': 294, 'answer': '\r\nEinbaumasse:'}",Spandrel glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
1045,1892,1892,Einbau Glaskeramik-Kochfeld,,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Neuwertiges Glaskeramik-Kochfeld der Marke Elektrolux - GK69TSHO, Einbau.
4 Kochzonen mit Restwärmeanzeige mit Slider-Bediehnung, Flächembündigen Einbau.

Neuwertig (2019), Neupreis 2'650.- CHF

Leistungsmerkmale: 14 Kochstufen; Ankochautomatik; Öko-Timer; CountUp Timer; OptiHeat Control; OffSound Control; Verriegelungs-/ Wiederherstellungs-Funktion; Kindersicherung; Leistungsabhängige Sicherheitsabschaltung; 1 Bräter-Kochzone 1800/2800W/170x265mm

Spannung 240V / 6800 W
Masse:  77 cm (Breite) X 51 cm (Tiefe) x 0.5 cm (Höhe)
Gewicht: 9.5 Kg",Glass-ceramics,,,,,,black,,2022-08-30,520.0,,,1970-01-01,520.0,1970-01-01 00:00:00.000,0.0,1.0,5.0,"Arni AG, 8905",,useagain,90356,CH,de,,https://www.useagain.ch/de/einbau-glaskeramik-kochfeld-90356,H03.05,hob,,,,"{'score': 0.9377006888389587, 'start': 11, 'end': 32, 'answer': ' Glaskeramik-Kochfeld'}","{'score': 0.03954783082008362, 'start': 491, 'end': 522, 'answer': ' 77 cm (Breite) X 51 cm (Tiefe)'}","{'score': 0.0037798455450683832, 'start': 417, 'end': 435, 'answer': ' 1 Bräter-Kochzone'}",Patterned glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
1224,2073,2073,Glaskeramik-Kochfeld mit Heiz-Zonen und Edelstahlrahmen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: V-ZUG
Modell: GK42H 551
Jahrgang: 1999
Farbe: Schwarz
Anzahl Kochzonen: 4
mit Kabel und Stecker
Anschluss: 400 V, muss vom Fachmann installiert werden!
Enthält Gebrauchsspuren
Bedienungsanleitung nur als pdf",Glass-ceramics,51.0,58.0,"4,5",,,black,,2022-10-12,50.0,,,1970-01-01,50.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Brügg, 2555",,useagain,90897,CH,de,_dsc9295_570x570.jpg,https://www.useagain.ch/de/glaskeramik-kochfeld-mit-4-heiz-zonen-und-edelstahlrahmen-90897,H03.05,hob,,,,"{'score': 0.02581685222685337, 'start': 57, 'end': 65, 'answer': ' Schwarz'}","{'score': 5.801702627650229e-06, 'start': 25, 'end': 35, 'answer': ' GK42H 551'}","{'score': 0.09367764741182327, 'start': 83, 'end': 85, 'answer': ' 4'}",Borosilicate glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
1231,2080,2080,Glaskeramik-Kochfeld mit Heiz-Zonen mit Edelstahlrahmen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Electrolux
Modell: GK56-4.3c
Jahrgang: 2008
Anzahl Kochzonen: 4 (gesteuert über Herd/Backofen oder Schaltkasten)
Anschluss: 400 V mit Kabel und Stecker dran Muss vom Fachmann installiert werden!
Enthält leichte Kratzspuren
Bedienungsanleitung nur als Pdf.",Glass-ceramics,51.0,55.0,4,,,black,,2022-09-08,70.0,,,1970-01-01,70.0,1970-01-01 00:00:00.000,0.0,1.0,179.0,"Brügg, 2555",,useagain,90500,CH,de,_dsc9115_570x570.jpg,https://www.useagain.ch/de/glaskeramik-kochfeld-mit-4-heiz-zonen-mit-edelstahlrahmen-90500,H03.05,hob,,,,"{'score': 7.664377335458994e-06, 'start': 214, 'end': 234, 'answer': ' leichte Kratzspuren'}","{'score': 0.0013183659175410867, 'start': 30, 'end': 40, 'answer': ' GK56-4.3c'}","{'score': 0.36097660660743713, 'start': 73, 'end': 75, 'answer': ' 4'}",Borosilicate glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels",Other,Glass blocks and panels
1994,2845,2845,Glaskeramik-Kochfeld mit Heiz-Zonen mit Edelstahlrahmen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Electrolux
Modell: VC56 Primo
Jahrgang: zwischen 1986-1996
Farbe: Schwarz
Kochzonen 4
Festanschluss: 400 V Muss von einem Fachmann installiert werden!
Enthält Kratzspuren
ohne Bedienungsanleitung",Glass-ceramics,,,,,,,,2022-11-22,20.0,,,1970-01-01,20.0,1970-01-01 00:00:00.000,0.0,1.0,4.0,"Brügg, 2555",,useagain,91360,CH,de,_dsc9497_570x570.jpg,https://www.useagain.ch/de/glaskeramik-kochfeld-mit-4-heiz-zonen-mit-edelstahlrahmen-91360,H03.05,hob,,,,"{'score': 0.006015054881572723, 'start': 77, 'end': 85, 'answer': ' Schwarz'}","{'score': 9.569562280375976e-06, 'start': 11, 'end': 41, 'answer': ' Electrolux\nModell: VC56 Primo'}","{'score': 0.00042639102321118116, 'start': 30, 'end': 41, 'answer': ' VC56 Primo'}",Borosilicate glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels",Other,Glass blocks and panels
2007,2859,2859,Glaskeramik-Kochfeld und weissen Rahmen mit Heiz-Zonen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: V-ZUG
Modell: GK42 / 550
Erste Inbetriebnahme: 2000
Anzahl Kochzonen: 4
Anschluss: 400 V mit Kabel und Stecker dran Muss vom Fachmann installiert werden
Enthält Kratzspuren
Bedienungsanleitung nicht dabei",Glass-ceramics,,,,,,,,2022-11-22,40.0,,,1970-01-01,40.0,1970-01-01 00:00:00.000,0.0,1.0,1.0,"Brügg, 2555",,useagain,91363,CH,de,_dsc9509_570x570.jpg,https://www.useagain.ch/de/glaskeramik-kochfeld-und-weissen-rahmen-mit-4-heiz-zonen-91363,H03.05,hob,,,,"{'score': 3.08492781186942e-05, 'start': 11, 'end': 17, 'answer': ' V-ZUG'}","{'score': 0.0006243915995582938, 'start': 25, 'end': 36, 'answer': ' GK42 / 550'}","{'score': 0.004898920655250549, 'start': 25, 'end': 36, 'answer': ' GK42 / 550'}",Heat-strengthened glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
2047,2901,2901,Einbauherd mit Glaskeramik-Kochfeld und Heiz-Zonen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: V-ZUG
Modell: Combair S EC-S4 / 712
Inbetriebnahme: 1999
Farbe: Schwarz
Montageart: Einbau/CH Norm
Funktionen: Ober-/Unterhitze, Grill-Umluft, Heissluft
Geräteschublade mit 2 Backblech, 1 Gitterrost
Anschluss: 400V, muss von einem Fachmann installiert werden 
Bedienungsanleitung nur als pdf

Keramik-Kochfeld mit weissen Rahmen und 4 Heiz-Zonen
Modell: GK42H
Inbetriebnahme: 1999
Farbe: Schwarz
Anschluss: 400V, muss von einem Fachmann installiert werden
Breite: 58,2 cm, Höhe: 3,2 cm, Tiefe: 51,2 cm
Bedienungsanleitung nur als Pdf",Glass-ceramics,,,,,,,,2022-11-29,200.0,,,1970-01-01,200.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Brügg, 2555",,useagain,91397,CH,de,_dsc9561_570x570.jpg,https://www.useagain.ch/de/einbauherd-mit-glaskeramik-kochfeld-und-4-heiz-zonen-91397,H03.05,stove,,,,"{'score': 0.0032420260831713676, 'start': 75, 'end': 83, 'answer': ' Schwarz'}","{'score': 0.0456429161131382, 'start': 475, 'end': 513, 'answer': ' 58,2 cm, Höhe: 3,2 cm, Tiefe: 51,2 cm'}","{'score': 0.0008118895930238068, 'start': 184, 'end': 197, 'answer': ' 2 Backblech,'}",Heat-strengthened glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
2178,3035,3035,Herd mit Glaskeramik-Kochfeld und Heiz-Zonen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: V-ZUG
Modell: Combair 4 / 610
Inbetriebnahme: 2011
Farbe: Schwarz
Montageart: Einbau/CH Norm
Funktionen: Ober-/Unterhitze, Grill, Grill-Umluft
Geräteschublade mit 2 Backblech, 1 Gitterrost
Anschluss: 400V, muss von einem Fachmann installiert werden 
Bedienungsanleitung nur als pdf

Keramik-Kochfeld mit Standardrahmen Chrom und 4 Heiz-Zonen
Modell: QuickLight GK 43.1 / 031
Inbetriebnahme: 2011
Farbe: Schwarz
Anschluss: 400V, muss von einem Fachmann installiert werden
Breite: 58,9 cm, Höhe: 4 cm, Tiefe: 51,8 cm
Hat Gebrauchsspuren
Bedienungsanleitung nur als Pdf",Glass-ceramics,,,,,,,,2022-12-15,350.0,,,1970-01-01,350.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Brügg, 2555",,useagain,91532,CH,de,_dsc9723_570x570.jpg,https://www.useagain.ch/de/herd-mit-glaskeramik-kochfeld-und-4-heiz-zonen-91532,H03.05,stove,,,,"{'score': 0.00760666374117136, 'start': 330, 'end': 336, 'answer': ' Chrom'}","{'score': 0.046328626573085785, 'start': 490, 'end': 526, 'answer': ' 58,9 cm, Höhe: 4 cm, Tiefe: 51,8 cm'}","{'score': 0.00013834849232807755, 'start': 174, 'end': 187, 'answer': ' 2 Backblech,'}",Ceramic,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
2255,3113,3113,Glaskeramik-Kochfeld mit Heiz-Zonen und Edelstahlrahmen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller : AEG
Modell: KFA58HM
Jahrgang: 2012, 2013
Anzahl der Kochzonen: 4
Fester Anschluss: 400 V Muss von einem Fachmann installiert werden!
Mit Kabel und Stecker
Enthält leichte Abnutzungsspuren
Bedienungsanleitung nur als pdf",Glass-ceramics,,,,,,,,2023-01-05,150.0,,,1970-01-01,150.0,1970-01-01 00:00:00.000,0.0,1.0,26.0,"Brügg, 2555",,useagain,91583,CH,de,_dsc9820_570x570.jpg,https://www.useagain.ch/de/glaskeramik-kochfeld-mit-4-heiz-zonen-und-edelstahlrahmen-91583,H03.05,hob,,,,"{'score': 1.0767292906166404e-06, 'start': 167, 'end': 200, 'answer': '\nEnthält leichte Abnutzungsspuren'}","{'score': 5.1541712309699506e-05, 'start': 12, 'end': 16, 'answer': ' AEG'}","{'score': 0.2965344786643982, 'start': 75, 'end': 77, 'answer': ' 4'}",Borosilicate glass,Glazed structures,Pr_20_65_34,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
